param-n abstract-regression-cubic-real abstract-regression-cubic-sys abstract-regression-cubic-user close-abstract-regression-cubic-real close-abstract-regression-cubic-sys close-abstract-regression-cubic-user fast-rewrite-regression-cubic-real fast-rewrite-regression-cubic-sys fast-rewrite-regression-cubic-user pose-build-and-refine-regression-cubic-real pose-build-and-refine-regression-cubic-sys pose-build-and-refine-regression-cubic-user refine-regression-quadratic-regression-linear-real refine-regression-quadratic-regression-linear-sys refine-regression-quadratic-regression-linear-user
1 0.001 0. 0. 0. 0. 0. 0.001 0. 0. 0. 0. 0. 0. 0. 0.
2 0.001 0.001 0. 0. 0. 0. 0.001 0.001 0. 0.001 0.001 0. 0. 0. 0.
3 0.001 0.001 0. 0. 0. 0. 0.001 0.001 0. 0.001 0.001 0. 0. 0. 0.
50 0.017 0.005 0.012 0.005 0. 0.005 0.011 0.004 0.006 0.011 0.004 0.006 0. 0. 0.
100 0.113 0.013 0.1 0.018 0. 0.018 0.095 0.013 0.081 0.095 0.013 0.081 0.001 0. 0.
150 0.081 0.003 0.077 0.038 0. 0.038 0.042 0.003 0.038 0.042 0.003 0.038 0.001 0. 0.001
200 0.192 0. 0.192 0.089 0. 0.089 0.102 0. 0.102 0.102 0. 0.102 0.002 0. 0.002
250 0.278 0.002 0.275 0.154 0. 0.154 0.123 0.002 0.12 0.123 0.002 0.12 0.003 0. 0.003
300 0.432 0.007 0.424 0.268 0. 0.268 0.163 0.007 0.155 0.163 0.007 0.155 0.003 0. 0.003
350 0.595 0. 0.595 0.398 0. 0.398 0.197 0. 0.197 0.196 0. 0.196 0.004 0. 0.004
400 0.807 0.003 0.803 0.581 0.003 0.577 0.225 0. 0.225 0.225 0. 0.225 0.005 0. 0.005
