param-n fast-rewrite-regression-cubic-real fast-rewrite-regression-cubic-sys fast-rewrite-regression-cubic-user pose-build-and-refine-regression-cubic-real pose-build-and-refine-regression-cubic-sys pose-build-and-refine-regression-cubic-user refine-regression-quadratic-regression-linear-real refine-regression-quadratic-regression-linear-sys refine-regression-quadratic-regression-linear-user
1 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 0. 0. 0. 0. 0. 0. 0. 0. 0.
3 0.001 0.001 0. 0.001 0.001 0. 0. 0. 0.
50 0.011 0.002 0.009 0.011 0.002 0.009 0.001 0.001 0.
100 0.086 0.025 0.061 0.086 0.025 0.061 0.001 0. 0.001
150 0.044 0. 0.044 0.044 0. 0.043 0.001 0. 0.001
200 0.082 0. 0.082 0.082 0. 0.082 0.002 0. 0.002
250 0.119 0.007 0.112 0.119 0.007 0.112 0.003 0. 0.003
300 0.156 0. 0.156 0.156 0. 0.156 0.003 0. 0.003
350 0.196 0.011 0.184 0.196 0.011 0.184 0.004 0. 0.004
400 0.205 0. 0.205 0.205 0. 0.205 0.005 0. 0.005
