param-n abstract+rewrite-strat-bottomup-real abstract+rewrite-strat-bottomup-sys abstract+rewrite-strat-bottomup-user abstract+rewrite-strat-topdown-real abstract+rewrite-strat-topdown-sys abstract+rewrite-strat-topdown-user close-abstract+rewrite-strat-bottomup-real close-abstract+rewrite-strat-bottomup-sys close-abstract+rewrite-strat-bottomup-user close-abstract+rewrite-strat-topdown-real close-abstract+rewrite-strat-topdown-sys close-abstract+rewrite-strat-topdown-user rewrite-strat-bottomup-real rewrite-strat-bottomup-sys rewrite-strat-bottomup-user rewrite-strat-bottomup-noop-real rewrite-strat-bottomup-noop-sys rewrite-strat-bottomup-noop-user rewrite-strat-topdown-real rewrite-strat-topdown-sys rewrite-strat-topdown-user rewrite-strat-topdown-noop-real rewrite-strat-topdown-noop-sys rewrite-strat-topdown-noop-user
1 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0. 0. 0. 0.
2 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0. 0. 0. 0.001 0. 0.001 0. 0. 0.
3 0.003 0. 0.002 0.002 0. 0.002 0. 0. 0. 0. 0. 0. 0.002 0. 0.002 0. 0. 0. 0. 0. 0. 0. 0. 0.
50 0.181 0.026 0.154 0.13 0.011 0.118 0.036 0. 0.036 0.025 0. 0.025 0.144 0.026 0.117 0. 0. 0. 0.104 0.011 0.092 0. 0. 0.
100 0.438 0.009 0.428 0.237 0. 0.237 0.167 0.009 0.157 0.103 0. 0.103 0.268 0. 0.268 0.001 0. 0.001 0.131 0. 0.131 0.001 0. 0.001
150 0.868 0.002 0.866 0.562 0.002 0.559 0.327 0. 0.327 0.245 0. 0.244 0.537 0.001 0.535 0.002 0. 0.002 0.313 0.002 0.311 0.003 0. 0.003
200 1.523 0.011 1.511 0.989 0.015 0.973 0.511 0.002 0.508 0.416 0. 0.416 1.006 0.007 0.998 0.004 0. 0.004 0.555 0.015 0.54 0.016 0. 0.016
250 2.302 0.008 2.293 1.459 0.013 1.445 0.815 0. 0.815 0.595 0. 0.594 1.479 0.008 1.47 0.005 0. 0.005 0.856 0.012 0.843 0.006 0. 0.006
300 3.525 0.031 3.492 2.238 0.012 2.225 1.154 0.003 1.149 0.903 0. 0.903 2.358 0.027 2.33 0.011 0. 0.011 1.325 0.011 1.313 0.007 0. 0.007
350 4.803 0.031 4.77 2.901 0.028 2.872 1.632 0.004 1.628 1.142 0.003 1.138 3.149 0.027 3.121 0.019 0. 0.019 1.745 0.024 1.721 0.011 0. 0.011
400 6.769 0.028 6.739 3.948 0.012 3.936 2.157 0.003 2.153 1.562 0. 1.562 4.597 0.024 4.571 0.012 0. 0.012 2.371 0.012 2.358 0.013 0. 0.013
