param-n abstract+repeat-rewrite-strat-bottomup-regression-cubic-real abstract+repeat-rewrite-strat-bottomup-regression-cubic-sys abstract+repeat-rewrite-strat-bottomup-regression-cubic-user abstract+repeat-rewrite-strat-topdown-regression-cubic-real abstract+repeat-rewrite-strat-topdown-regression-cubic-sys abstract+repeat-rewrite-strat-topdown-regression-cubic-user close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-real close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-sys close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-user close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-real close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-sys close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-user noop-repeat-rewrite-strat-bottomup-regression-cubic-real noop-repeat-rewrite-strat-bottomup-regression-cubic-sys noop-repeat-rewrite-strat-bottomup-regression-cubic-user noop-repeat-rewrite-strat-topdown-regression-cubic-real noop-repeat-rewrite-strat-topdown-regression-cubic-sys noop-repeat-rewrite-strat-topdown-regression-cubic-user repeat-rewrite-strat-bottomup-regression-cubic-real repeat-rewrite-strat-bottomup-regression-cubic-sys repeat-rewrite-strat-bottomup-regression-cubic-user repeat-rewrite-strat-topdown-regression-cubic-real repeat-rewrite-strat-topdown-regression-cubic-sys repeat-rewrite-strat-topdown-regression-cubic-user
0 0.005 0.001 0.004 0.004 0. 0.004 0.001 0. 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.003 0.001 0.002 0.003 0. 0.003
1 0.011 0. 0.011 0.01 0.007 0.002 0.001 0. 0.001 0. 0. 0. 0. 0. 0. 0.001 0. 0. 0.008 0. 0.008 0.008 0.006 0.001
2 0.017 0. 0.017 0.017 0.011 0.005 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.014 0. 0.014 0.013 0.011 0.002
3 0.028 0.01 0.017 0.024 0.008 0.016 0.002 0.001 0. 0.002 0. 0.001 0.002 0. 0.001 0.002 0. 0.002 0.023 0.007 0.015 0.02 0.008 0.012
4 0.088 0.025 0.063 0.098 0.003 0.094 0.001 0. 0.001 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.001 0.084 0.025 0.059 0.092 0.002 0.089
5 0.04 0. 0.04 0.042 0. 0.042 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.003 0. 0.003 0.035 0. 0.035 0.035 0. 0.035
6 0.05 0. 0.05 0.059 0. 0.059 0.002 0. 0.002 0.002 0. 0.002 0.003 0. 0.003 0.003 0. 0.003 0.044 0. 0.044 0.052 0. 0.052
7 0.073 0. 0.073 0.078 0. 0.078 0.003 0. 0.003 0.003 0. 0.003 0.004 0. 0.004 0.004 0. 0.004 0.064 0. 0.064 0.071 0. 0.071
8 0.088 0. 0.088 0.09 0. 0.09 0.003 0. 0.003 0.003 0. 0.003 0.004 0. 0.004 0.005 0. 0.005 0.079 0. 0.079 0.081 0. 0.081
9 0.104 0. 0.104 0.113 0. 0.113 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005 0.006 0. 0.006 0.094 0. 0.094 0.102 0. 0.102
10 0.19 0.024 0.166 0.196 0.032 0.163 0.006 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.005 0.177 0.024 0.153 0.184 0.032 0.152
11 0.155 0. 0.155 0.16 0. 0.16 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007 0.007 0. 0.007 0.141 0. 0.141 0.146 0. 0.146
12 0.183 0. 0.183 0.191 0. 0.191 0.006 0. 0.006 0.006 0. 0.006 0.008 0. 0.008 0.008 0. 0.008 0.167 0. 0.167 0.176 0. 0.176
13 0.219 0. 0.219 0.232 0. 0.232 0.01 0. 0.01 0.006 0. 0.006 0.009 0. 0.009 0.01 0. 0.01 0.198 0. 0.198 0.215 0. 0.215
14 0.256 0. 0.256 0.268 0. 0.268 0.007 0. 0.007 0.008 0. 0.008 0.011 0. 0.011 0.01 0. 0.01 0.236 0. 0.236 0.249 0. 0.249
15 0.307 0. 0.307 0.319 0. 0.319 0.009 0. 0.009 0.009 0. 0.009 0.011 0. 0.011 0.011 0. 0.011 0.286 0. 0.286 0.297 0. 0.297
16 0.349 0. 0.349 0.349 0. 0.349 0.01 0. 0.01 0.009 0. 0.009 0.012 0. 0.012 0.012 0. 0.012 0.326 0. 0.326 0.327 0. 0.327
17 0.433 0.003 0.429 0.427 0.003 0.423 0.011 0. 0.011 0.011 0. 0.01 0.012 0. 0.012 0.014 0. 0.014 0.409 0.003 0.405 0.401 0.003 0.397
18 0.486 0. 0.485 0.491 0. 0.491 0.013 0. 0.013 0.012 0. 0.012 0.016 0. 0.016 0.015 0. 0.015 0.456 0. 0.455 0.462 0. 0.462
19 0.547 0. 0.547 0.547 0. 0.547 0.012 0. 0.012 0.013 0. 0.013 0.014 0. 0.014 0.018 0. 0.018 0.519 0. 0.519 0.515 0. 0.515
20 0.626 0. 0.626 0.635 0.004 0.63 0.014 0. 0.014 0.013 0. 0.013 0.018 0. 0.018 0.019 0. 0.019 0.593 0. 0.593 0.602 0.004 0.597
21 0.702 0. 0.702 0.712 0. 0.711 0.015 0. 0.015 0.015 0. 0.015 0.02 0. 0.02 0.02 0. 0.02 0.666 0. 0.666 0.675 0. 0.675
22 0.82 0. 0.82 0.843 0. 0.842 0.018 0. 0.018 0.017 0. 0.017 0.022 0. 0.022 0.022 0. 0.022 0.779 0. 0.778 0.802 0. 0.802
23 0.921 0. 0.92 0.9 0.003 0.896 0.017 0. 0.017 0.018 0. 0.018 0.025 0. 0.025 0.024 0. 0.024 0.877 0. 0.877 0.857 0.003 0.853
24 1.058 0. 1.058 1.024 0. 1.023 0.019 0. 0.019 0.02 0. 0.02 0.025 0. 0.025 0.025 0. 0.025 1.013 0. 1.013 0.977 0. 0.977
25 1.181 0. 1.18 1.15 0. 1.15 0.021 0. 0.02 0.02 0. 0.02 0.027 0. 0.027 0.029 0. 0.033 1.132 0. 1.132 1.1 0. 1.095
30 2.026 0. 2.025 2.033 0. 2.032 0.028 0. 0.028 0.031 0. 0.031 0.039 0. 0.039 0.042 0. 0.042 1.957 0. 1.957 1.958 0. 1.958
35 3.264 0.003 3.259 3.302 0.004 3.297 0.035 0. 0.035 0.035 0. 0.035 0.061 0. 0.061 0.068 0. 0.068 3.166 0.003 3.161 3.198 0.004 3.193
40 5.081 0. 5.079 5.037 0.006 5.03 0.048 0. 0.048 0.048 0. 0.048 0.087 0. 0.087 0.084 0.006 0.077 4.945 0. 4.943 4.904 0. 4.904
45 7.579 0. 7.577 7.593 0.012 7.579 0.055 0. 0.055 0.053 0. 0.053 0.111 0. 0.111 0.106 0. 0.106 7.412 0. 7.41 7.432 0.012 7.418
50 11.011 0.019 10.986 10.85 0.015 10.831 0.073 0. 0.073 0.067 0. 0.067 0.138 0. 0.138 0.137 0. 0.137 10.799 0.019 10.774 10.645 0.015 10.627
