param-n abstract-regression-quadratic-real abstract-regression-quadratic-sys abstract-regression-quadratic-user close-abstract-regression-quadratic-real close-abstract-regression-quadratic-sys close-abstract-regression-quadratic-user ssr-rewrite!-regression-quadratic-real ssr-rewrite!-regression-quadratic-sys ssr-rewrite!-regression-quadratic-user ssr-rewrite?-noop-regression-linear-real ssr-rewrite?-noop-regression-linear-sys ssr-rewrite?-noop-regression-linear-user
1 0.001 0. 0.001 0.001 0. 0. 0. 0. 0. 0. 0. 0.
2 0.001 0. 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0.
3 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
50 0.15 0.007 0.143 0.047 0. 0.047 0.102 0.007 0.095 0. 0. 0.
100 0.334 0.004 0.329 0.196 0. 0.195 0.136 0.003 0.132 0. 0. 0.
150 0.773 0.009 0.763 0.451 0.005 0.445 0.312 0.004 0.307 0. 0. 0.
200 1.25 0.007 1.241 0.727 0.003 0.723 0.521 0.004 0.516 0. 0. 0.
250 1.909 0.016 1.892 1.13 0.007 1.122 0.777 0.009 0.768 0. 0. 0.
300 2.819 0.015 2.803 1.646 0.007 1.637 1.172 0.008 1.163 0. 0. 0.
350 3.763 0.007 3.754 2.264 0. 2.263 1.498 0.007 1.489 0. 0. 0.
400 4.813 0.019 4.792 2.804 0.016 2.788 2.006 0.003 2.002 0. 0. 0.
