param-0-univ-count param-1-n abstract-regression-quadratic-real abstract-regression-quadratic-sys abstract-regression-quadratic-user close-abstract-regression-quadratic-real close-abstract-regression-quadratic-sys close-abstract-regression-quadratic-user exact-regression-linear-real exact-regression-linear-sys exact-regression-linear-user
1 0 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 1 0. 0. 0. 0. 0. 0. 0. 0. 0.
4 2 0. 0. 0. 0. 0. 0. 0. 0. 0.
8 3 0. 0. 0. 0.001 0. 0. 0. 0. 0.
16 4 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001
32 5 0. 0. 0. 0.003 0. 0.003 0.002 0. 0.001
64 6 0. 0. 0. 0.007 0. 0.007 0.004 0.004 0.
128 7 0. 0. 0. 0.073 0.008 0.065 0.008 0.003 0.005
256 8 0. 0. 0. 0.042 0.002 0.039 0.014 0. 0.014
512 9 0. 0. 0. 0.09 0. 0.09 0.027 0. 0.027
1024 10 0. 0. 0. 0.267 0. 0.267 0.06 0. 0.06
2048 11 0. 0. 0. 0.863 0.002 0.86 0.135 0. 0.135
4096 12 0. 0. 0. 2.748 0.015 2.732 0.292 0.007 0.284
8192 13 0. 0. 0. 9.452 0.016 9.435 0.616 0.004 0.612
16384 14 0. 0. 0. 32.615 0.052 32.543 1.24 0.02 1.22
