param-n abstract-regression-linear-real abstract-regression-linear-sys abstract-regression-linear-user reify-regression-cubic-real reify-regression-cubic-sys reify-regression-cubic-user
1 0.001 0. 0.001 0.003 0. 0.003
2 0.001 0. 0. 0.005 0. 0.005
3 0.001 0. 0.001 0.008 0. 0.008
4 0.001 0. 0.001 0.01 0.007 0.002
5 0.001 0. 0.001 0.077 0.012 0.065
6 0.001 0. 0.001 0.01 0. 0.01
7 0.001 0. 0.001 0.012 0. 0.012
8 0.001 0. 0.001 0.016 0. 0.016
9 0.001 0. 0.001 0.017 0. 0.017
10 0.001 0. 0.001 0.026 0. 0.026
11 0.001 0. 0.001 0.023 0. 0.023
12 0.001 0. 0.001 0.026 0. 0.026
13 0.001 0. 0.001 0.039 0. 0.039
14 0.002 0. 0.002 0.032 0. 0.032
15 0.002 0. 0.002 0.038 0. 0.038
16 0.002 0. 0.002 0.039 0. 0.039
17 0.002 0. 0.002 0.05 0. 0.05
18 0.002 0. 0.002 0.047 0. 0.047
19 0.002 0. 0.002 0.053 0. 0.053
20 0.002 0. 0.002 0.059 0. 0.059
21 0.002 0. 0.002 0.064 0. 0.064
22 0.008 0. 0.008 0.067 0. 0.067
23 0.002 0. 0.002 0.071 0. 0.071
24 0.003 0. 0.003 0.077 0.003 0.073
25 0.002 0. 0.002 0.086 0. 0.086
26 0.003 0. 0.003 0.097 0. 0.097
27 0.003 0. 0.003 0.098 0. 0.098
28 0.003 0. 0.003 0.126 0. 0.125
29 0.003 0. 0.004 0.12 0. 0.118
30 0.003 0. 0.003 0.116 0. 0.116
31 0.003 0. 0.003 0.134 0. 0.134
32 0.003 0. 0.003 0.147 0.003 0.143
33 0.003 0. 0.003 0.15 0. 0.15
34 0.003 0. 0.003 0.147 0. 0.147
35 0.003 0. 0.003 0.157 0. 0.157
36 0.004 0. 0.004 0.165 0. 0.165
37 0.004 0. 0.004 0.178 0.003 0.175
38 0.004 0. 0.004 0.203 0. 0.203
39 0.004 0. 0.004 0.212 0. 0.212
40 0.004 0. 0.004 0.227 0. 0.227
41 0.004 0. 0.004 0.223 0.003 0.219
42 0.004 0. 0.004 0.235 0. 0.234
43 0.004 0. 0.004 0.234 0. 0.234
44 0.009 0. 0.009 0.26 0. 0.26
45 0.004 0. 0.004 0.263 0. 0.263
46 0.004 0. 0.004 0.28 0. 0.279
47 0.004 0. 0.004 0.3 0. 0.3
48 0.004 0. 0.004 0.302 0.008 0.294
49 0.005 0. 0.005 0.329 0.003 0.325
50 0.005 0. 0.005 0.336 0. 0.336
51 0.005 0. 0.005 0.384 0.007 0.377
52 0.005 0. 0.005 0.374 0.004 0.37
53 0.005 0. 0.005 0.385 0. 0.385
54 0.005 0. 0.005 0.405 0.003 0.401
55 0.005 0. 0.005 0.439 0.007 0.431
56 0.005 0. 0.005 0.431 0.003 0.427
57 0.005 0. 0.005 0.455 0. 0.455
58 0.009 0. 0.009 0.443 0. 0.443
59 0.005 0. 0.005 0.466 0. 0.466
60 0.005 0.003 0.001 0.503 0.008 0.495
61 0.005 0. 0.005 0.512 0. 0.512
62 0.005 0. 0.005 0.533 0. 0.533
63 0.006 0. 0.006 0.561 0. 0.561
64 0.008 0. 0.008 0.578 0. 0.578
65 0.006 0. 0.006 0.603 0. 0.603
66 0.006 0. 0.006 0.619 0. 0.619
67 0.006 0. 0.006 0.631 0. 0.63
68 0.006 0. 0.006 0.66 0. 0.66
69 0.006 0. 0.006 0.649 0.003 0.645
70 0.006 0. 0.006 0.678 0. 0.678
71 0.006 0. 0.006 0.704 0. 0.704
72 0.02 0. 0.02 0.72 0. 0.72
73 0.007 0. 0.007 0.786 0. 0.786
74 0.007 0. 0.007 0.792 0. 0.792
75 0.007 0. 0.007 0.813 0. 0.813
76 0.007 0. 0.007 0.814 0. 0.814
77 0.007 0. 0.007 0.838 0. 0.837
78 0.007 0. 0.007 0.876 0. 0.876
79 0.007 0. 0.007 0.893 0. 0.893
80 0.007 0. 0.007 0.952 0. 0.951
81 0.007 0. 0.007 0.96 0. 0.96
82 0.007 0. 0.007 0.969 0. 0.969
83 0.007 0. 0.007 0.992 0.011 0.981
84 0.007 0. 0.007 1.027 0.008 1.019
85 0.007 0. 0.007 1.05 0. 1.049
86 0.008 0. 0.008 1.13 0. 1.13
87 0.008 0. 0.008 1.156 0. 1.153
88 0.008 0. 0.008 1.156 0. 1.156
89 0.008 0. 0.008 1.167 0. 1.167
90 0.009 0. 0.009 1.201 0. 1.201
91 0.008 0. 0.008 1.289 0. 1.289
92 0.008 0. 0.008 1.306 0. 1.305
93 0.008 0. 0.008 1.306 0. 1.306
94 0.008 0. 0.008 1.36 0. 1.36
95 0.009 0. 0.009 1.41 0. 1.41
96 0.008 0. 0.008 1.471 0. 1.471
97 0.008 0. 0.008 1.465 0. 1.465
98 0.008 0. 0.008 1.465 0. 1.464
99 0.009 0. 0.009 1.562 0. 1.562
100 0.009 0. 0.009 1.574 0. 1.573
110 0.009 0. 0.009 2.134 0.029 2.105
120 0.01 0. 0.01 2.487 0.008 2.478
130 0.011 0. 0.011 2.996 0.027 2.968
140 0.012 0. 0.012 3.63 0.024 3.605
150 0.013 0. 0.013 4.314 0. 4.313
160 0.013 0. 0.013 5.077 0. 5.076
170 0.014 0. 0.014 5.926 0. 5.924
180 0.016 0. 0.016 6.838 0.02 6.816
190 0.016 0. 0.016 7.859 0. 7.857
200 0.017 0. 0.017 9.005 0. 9.004
210 0.017 0. 0.017 10.34 0.016 10.321
220 0.019 0. 0.019 11.46 0.003 11.453
230 0.019 0. 0.019 13.272 0.012 13.257
240 0.021 0. 0.021 14.493 0. 14.491
250 0.021 0. 0.021 16.424 0.007 16.411
260 0.022 0. 0.022 18.118 0.007 18.103
270 0.024 0. 0.024 20.235 0.008 20.224
280 0.023 0. 0.023 22.456 0.028 22.425
290 0.025 0. 0.025 24.912 0. 24.907
300 0.026 0. 0.026 27.496 0.003 27.488
350 0.031 0. 0.031 42.103 0.016 42.079
400 0.033 0. 0.033 61.644 0.068 61.567
450 0.05 0. 0.05 85.925 0.044 85.868
500 0.044 0. 0.044 115. 0.064 114.918
