param-n noop-repeat-rewrite-strat-bottomup-regression-cubic-real noop-repeat-rewrite-strat-bottomup-regression-cubic-sys noop-repeat-rewrite-strat-bottomup-regression-cubic-user noop-repeat-rewrite-strat-topdown-regression-cubic-real noop-repeat-rewrite-strat-topdown-regression-cubic-sys noop-repeat-rewrite-strat-topdown-regression-cubic-user noop-repeat-setoid-rewrite-regression-cubic-real noop-repeat-setoid-rewrite-regression-cubic-sys noop-repeat-setoid-rewrite-regression-cubic-user
0 0. 0. 0. 0. 0. 0. 0. 0. 0.
1 0.001 0.001 0. 0. 0. 0. 0.001 0.001 0.
2 0.001 0. 0.001 0.001 0. 0.001 0.001 0.001 0.
10 0.007 0.003 0.003 0.006 0.003 0.003 0.007 0. 0.007
20 0.014 0. 0.014 0.018 0. 0.018 0.069 0.004 0.064
30 0.033 0. 0.033 0.033 0. 0.033 0.036 0. 0.036
40 0.065 0. 0.065 0.067 0. 0.067 0.071 0. 0.071
50 0.11 0. 0.11 0.109 0. 0.109 0.168 0.015 0.152
60 0.198 0. 0.198 0.18 0. 0.18 0.184 0. 0.184
70 0.282 0. 0.282 0.283 0. 0.283 0.291 0. 0.291
80 0.385 0. 0.385 0.403 0. 0.403 0.405 0.003 0.402
90 0.544 0. 0.544 0.544 0. 0.544 0.562 0. 0.562
100 0.898 0. 0.898 0.836 0. 0.836 0.789 0. 0.788
110 0.957 0. 0.957 0.964 0. 0.964 0.983 0. 0.983
120 1.529 0. 1.529 1.441 0. 1.441 1.283 0. 1.283
130 1.576 0. 1.576 1.572 0. 1.572 1.579 0. 1.579
140 1.987 0. 1.987 1.964 0. 1.964 1.983 0. 1.983
150 2.761 0. 2.761 2.749 0. 2.749 2.807 0. 2.807
160 2.921 0. 2.921 2.907 0. 2.906 2.917 0. 2.917
170 3.522 0. 3.522 3.505 0. 3.504 3.497 0.003 3.493
180 4.27 0.004 4.266 4.098 0. 4.097 4.189 0.012 4.175
190 4.913 0. 4.913 4.934 0.004 4.93 4.871 0. 4.871
200 6.046 0.003 6.041 6.517 0. 6.516 6.491 0. 6.489
