param-n abstract-regression-linear-real abstract-regression-linear-sys abstract-regression-linear-user reify-regression-cubic-real reify-regression-cubic-sys reify-regression-cubic-user
1 0. 0. 0. 0.002 0. 0.002
2 0. 0. 0. 0.004 0. 0.004
3 0. 0. 0. 0.006 0. 0.006
4 0. 0. 0. 0.007 0.003 0.003
5 0. 0. 0. 0.01 0.004 0.005
6 0. 0. 0. 0.078 0.003 0.074
7 0. 0. 0. 0.012 0. 0.012
8 0. 0. 0. 0.015 0. 0.015
9 0. 0. 0. 0.018 0. 0.018
10 0. 0. 0. 0.02 0. 0.02
11 0. 0. 0. 0.025 0. 0.025
12 0. 0. 0. 0.027 0. 0.027
13 0.001 0. 0.001 0.042 0.002 0.04
14 0. 0. 0. 0.048 0. 0.048
15 0.001 0.001 0. 0.039 0. 0.039
16 0. 0. 0. 0.044 0.001 0.043
17 0. 0. 0. 0.047 0. 0.047
18 0.001 0. 0.001 0.058 0. 0.058
19 0. 0. 0. 0.062 0. 0.062
20 0.001 0. 0.001 0.064 0.003 0.061
21 0.001 0. 0. 0.072 0. 0.072
22 0.001 0. 0.001 0.079 0. 0.079
23 0.001 0. 0.001 0.094 0. 0.094
24 0.001 0. 0.001 0.093 0. 0.093
25 0.001 0. 0.001 0.108 0. 0.108
26 0.001 0. 0.001 0.106 0. 0.106
27 0.001 0. 0.001 0.122 0.003 0.119
28 0.001 0. 0.001 0.131 0. 0.13
29 0.001 0. 0.001 0.137 0. 0.137
30 0.006 0. 0.005 0.142 0. 0.142
31 0.001 0. 0.001 0.155 0. 0.154
32 0.002 0. 0.002 0.175 0. 0.175
33 0.001 0. 0.001 0.191 0. 0.191
34 0.001 0. 0.001 0.206 0. 0.206
35 0.001 0. 0.001 0.211 0. 0.211
36 0.001 0. 0.001 0.216 0.003 0.212
37 0.001 0. 0.001 0.241 0. 0.241
38 0.001 0. 0.001 0.268 0. 0.268
39 0.002 0. 0.002 0.267 0. 0.267
40 0.002 0. 0.002 0.306 0. 0.306
41 0.001 0. 0.001 0.304 0. 0.304
42 0.002 0. 0.002 0.315 0. 0.315
43 0.001 0. 0.001 0.337 0.003 0.333
44 0.002 0. 0.002 0.366 0. 0.366
45 0.002 0. 0.002 0.381 0.004 0.376
46 0.002 0. 0.002 0.397 0. 0.397
47 0.002 0. 0.002 0.426 0. 0.426
48 0.002 0. 0.002 0.43 0. 0.43
49 0.002 0. 0.002 0.465 0. 0.465
50 0.002 0. 0.002 0.503 0.003 0.499
51 0.002 0. 0.002 0.529 0. 0.528
52 0.002 0. 0.002 0.555 0.003 0.55
53 0.002 0. 0.002 0.575 0.004 0.571
54 0.003 0. 0.003 0.615 0.004 0.611
55 0.002 0. 0.002 0.639 0.003 0.634
56 0.002 0. 0.002 0.668 0.004 0.664
57 0.002 0. 0.002 0.681 0.003 0.677
58 0.002 0. 0.002 0.713 0.003 0.709
59 0.002 0. 0.002 0.748 0. 0.747
60 0.002 0. 0.002 0.78 0.007 0.772
61 0.002 0. 0.002 0.827 0. 0.827
62 0.002 0. 0.002 0.862 0. 0.861
63 0.002 0. 0.002 0.906 0. 0.906
64 0.003 0. 0.003 0.954 0. 0.954
65 0.002 0.002 0. 1.021 0. 1.02
66 0.002 0. 0.002 1.052 0. 1.051
67 0.003 0. 0.003 1.119 0.004 1.113
68 0.003 0. 0.003 1.09 0. 1.09
69 0.003 0. 0.003 1.164 0. 1.164
70 0.002 0. 0.002 1.223 0. 1.223
71 0.003 0. 0.003 1.262 0. 1.262
72 0.003 0. 0.003 1.323 0. 1.323
73 0.007 0. 0.007 1.388 0. 1.387
74 0.003 0. 0.003 1.446 0.004 1.441
75 0.003 0. 0.003 1.495 0. 1.495
76 0.003 0. 0.003 1.528 0. 1.527
77 0.003 0. 0.003 1.571 0. 1.571
78 0.003 0. 0.003 1.668 0. 1.666
79 0.003 0. 0.003 1.698 0. 1.697
80 0.003 0. 0.003 1.764 0. 1.763
81 0.004 0. 0.004 1.868 0. 1.866
82 0.003 0. 0.003 1.921 0. 1.921
83 0.003 0. 0.003 2.005 0. 2.005
84 0.003 0. 0.003 2.048 0. 2.048
85 0.003 0. 0.003 2.11 0.003 2.106
86 0.003 0. 0.003 2.301 0.007 2.292
87 0.003 0. 0.003 2.339 0. 2.339
88 0.004 0. 0.004 2.413 0.003 2.408
89 0.003 0. 0.003 2.44 0. 2.44
90 0.003 0. 0.003 2.521 0. 2.521
91 0.003 0. 0.003 2.588 0. 2.588
92 0.003 0. 0.003 2.68 0. 2.68
93 0.003 0. 0.003 2.769 0. 2.768
94 0.003 0. 0.003 2.904 0.003 2.9
95 0.003 0. 0.003 3.019 0. 3.019
96 0.004 0. 0.004 3.106 0. 3.105
97 0.004 0. 0.004 3.351 0. 3.349
98 0.004 0. 0.004 3.459 0. 3.459
99 0.004 0. 0.004 3.606 0. 3.606
100 0.004 0. 0.004 3.592 0. 3.591
