param-n pattern-regression-linear-real pattern-regression-linear-sys pattern-regression-linear-user
248 0.005 0. 0.005
249 0.005 0. 0.005
250 0.005 0. 0.005
251 0.006 0. 0.006
252 0.006 0. 0.006
253 0.006 0. 0.006
254 0.005 0. 0.005
255 0.005 0. 0.005
256 0.005 0. 0.005
257 0.006 0. 0.006
258 0.008 0. 0.008
259 0.006 0. 0.006
260 0.006 0. 0.006
261 0.006 0. 0.006
262 0.005 0. 0.005
263 0.005 0. 0.005
264 0.006 0. 0.006
265 0.005 0. 0.005
266 0.006 0. 0.006
267 0.005 0. 0.005
268 0.005 0. 0.005
269 0.005 0. 0.005
270 0.006 0. 0.006
271 0.007 0. 0.007
272 0.006 0. 0.006
273 0.006 0. 0.006
274 0.006 0. 0.006
275 0.005 0. 0.005
276 0.006 0. 0.006
277 0.008 0. 0.008
278 0.006 0. 0.006
279 0.006 0. 0.006
280 0.006 0. 0.006
281 0.005 0. 0.005
282 0.007 0. 0.007
283 0.007 0. 0.007
284 0.006 0. 0.006
285 0.006 0. 0.006
286 0.006 0. 0.006
287 0.006 0. 0.006
288 0.006 0. 0.006
289 0.006 0. 0.006
290 0.006 0. 0.006
291 0.006 0. 0.006
292 0.006 0. 0.006
293 0.006 0. 0.006
294 0.006 0. 0.006
295 0.008 0. 0.008
296 0.006 0. 0.006
297 0.007 0. 0.007
298 0.007 0. 0.007
299 0.006 0. 0.006
300 0.006 0. 0.006
301 0.007 0. 0.007
302 0.006 0. 0.006
303 0.007 0. 0.007
304 0.007 0. 0.007
305 0.006 0. 0.006
306 0.006 0. 0.006
307 0.006 0. 0.006
308 0.006 0. 0.006
309 0.006 0. 0.006
310 0.007 0. 0.007
311 0.006 0. 0.006
312 0.008 0. 0.008
313 0.006 0. 0.006
314 0.007 0. 0.007
315 0.007 0. 0.007
316 0.012 0. 0.012
317 0.006 0. 0.006
318 0.009 0. 0.009
319 0.007 0. 0.007
320 0.006 0. 0.006
321 0.006 0. 0.006
322 0.007 0. 0.007
323 0.008 0.003 0.004
324 0.007 0. 0.007
325 0.007 0. 0.007
326 0.007 0. 0.007
327 0.007 0. 0.007
328 0.009 0. 0.009
329 0.006 0. 0.006
330 0.007 0. 0.007
331 0.007 0. 0.007
332 0.007 0. 0.007
333 0.007 0. 0.007
334 0.009 0. 0.009
335 0.011 0. 0.011
336 0.008 0. 0.008
337 0.01 0. 0.01
338 0.008 0. 0.008
339 0.012 0. 0.012
340 0.007 0. 0.007
341 0.009 0. 0.009
342 0.008 0. 0.003
343 0.008 0. 0.008
344 0.008 0. 0.008
345 0.008 0. 0.008
346 0.007 0. 0.007
347 0.009 0. 0.009
348 0.007 0. 0.007
349 0.009 0. 0.009
350 0.008 0. 0.008
351 0.01 0. 0.01
352 0.011 0. 0.011
353 0.009 0. 0.009
354 0.01 0. 0.01
355 0.008 0. 0.008
356 0.008 0. 0.008
357 0.007 0. 0.007
358 0.007 0. 0.007
359 0.008 0. 0.008
360 0.007 0. 0.007
361 0.009 0. 0.009
362 0.009 0. 0.009
363 0.008 0. 0.008
364 0.007 0. 0.007
365 0.008 0. 0.008
366 0.007 0. 0.007
367 0.008 0. 0.008
368 0.008 0. 0.008
369 0.008 0. 0.008
370 0.008 0. 0.008
371 0.008 0. 0.008
372 0.008 0. 0.008
373 0.009 0. 0.009
374 0.008 0. 0.008
375 0.008 0. 0.008
376 0.007 0. 0.007
377 0.01 0. 0.01
378 0.009 0. 0.009
379 0.008 0. 0.008
380 0.008 0. 0.008
381 0.008 0. 0.008
382 0.01 0. 0.01
383 0.008 0. 0.008
384 0.008 0. 0.008
385 0.007 0. 0.007
386 0.009 0. 0.009
387 0.01 0. 0.01
388 0.008 0. 0.008
389 0.009 0. 0.009
390 0.008 0. 0.008
391 0.009 0. 0.009
392 0.008 0. 0.008
393 0.009 0. 0.009
394 0.008 0. 0.008
395 0.008 0. 0.008
396 0.009 0. 0.009
397 0.008 0. 0.008
398 0.008 0. 0.008
399 0.008 0. 0.008
400 0.009 0. 0.009
401 0.008 0. 0.008
402 0.009 0. 0.009
403 0.008 0. 0.008
404 0.011 0. 0.011
405 0.008 0. 0.008
406 0.009 0. 0.009
407 0.008 0. 0.008
408 0.008 0. 0.008
409 0.008 0. 0.008
410 0.009 0. 0.009
411 0.008 0. 0.008
412 0.009 0. 0.009
413 0.01 0. 0.01
414 0.008 0. 0.008
415 0.009 0. 0.009
416 0.008 0. 0.008
417 0.01 0. 0.01
418 0.008 0. 0.008
419 0.009 0. 0.009
420 0.009 0. 0.009
421 0.01 0. 0.01
422 0.008 0. 0.008
423 0.008 0. 0.008
424 0.008 0. 0.008
425 0.01 0. 0.01
426 0.009 0. 0.009
427 0.009 0. 0.009
428 0.009 0. 0.008
429 0.011 0. 0.011
430 0.009 0. 0.009
431 0.008 0. 0.008
432 0.008 0. 0.008
433 0.011 0. 0.011
434 0.009 0. 0.009
435 0.009 0. 0.009
436 0.01 0. 0.01
437 0.009 0. 0.009
438 0.009 0. 0.009
439 0.009 0. 0.009
440 0.009 0. 0.009
441 0.008 0. 0.008
442 0.01 0. 0.01
443 0.012 0. 0.012
444 0.011 0. 0.011
445 0.011 0. 0.011
446 0.009 0. 0.009
447 0.01 0. 0.01
448 0.01 0. 0.01
449 0.011 0. 0.011
450 0.01 0. 0.01
451 0.01 0. 0.01
452 0.01 0. 0.01
453 0.012 0. 0.012
454 0.009 0. 0.009
455 0.012 0. 0.012
456 0.01 0. 0.01
457 0.01 0. 0.01
458 0.009 0. 0.009
459 0.01 0. 0.01
460 0.011 0. 0.011
461 0.011 0. 0.011
462 0.009 0. 0.009
463 0.01 0. 0.01
464 0.01 0. 0.01
465 0.011 0. 0.011
466 0.009 0. 0.009
467 0.009 0. 0.009
468 0.013 0. 0.006
469 0.01 0. 0.018
470 0.011 0. 0.011
471 0.01 0. 0.01
472 0.01 0. 0.01
473 0.011 0. 0.011
474 0.011 0. 0.011
475 0.011 0. 0.011
476 0.012 0. 0.012
477 0.01 0. 0.01
478 0.011 0. 0.011
479 0.01 0. 0.01
480 0.01 0. 0.01
481 0.009 0. 0.009
482 0.01 0. 0.01
483 0.011 0. 0.011
484 0.01 0. 0.01
485 0.01 0. 0.01
486 0.01 0. 0.01
487 0.011 0. 0.011
488 0.01 0. 0.01
489 0.011 0. 0.011
490 0.011 0. 0.011
491 0.01 0. 0.01
492 0.01 0. 0.01
493 0.011 0. 0.011
494 0.011 0. 0.011
495 0.01 0. 0.01
496 0.01 0. 0.01
497 0.011 0. 0.011
498 0.011 0. 0.011
499 0.011 0. 0.011
500 0.011 0. 0.011
600 0.084 0.008 0.075
800 0.016 0. 0.016
1000 0.028 0. 0.028
1200 0.025 0. 0.025
1400 0.034 0. 0.034
1600 0.036 0. 0.036
1800 0.049 0. 0.049
2000 0.047 0.003 0.043
2200 0.064 0. 0.064
2400 0.064 0. 0.064
2600 0.06 0. 0.06
2800 0.079 0.011 0.067
3000 0.093 0. 0.093
3200 0.101 0. 0.101
3400 0.087 0. 0.087
3600 0.09 0. 0.09
3800 0.099 0. 0.099
4000 0.097 0. 0.097
4200 0.12 0.003 0.116
4400 0.136 0. 0.136
4600 0.124 0. 0.124
4800 0.118 0. 0.118
5000 0.133 0.003 0.129
5200 0.153 0.004 0.149
5400 0.151 0.003 0.148
5600 0.17 0.004 0.166
5800 0.167 0.003 0.163
6000 0.144 0. 0.144
6200 0.167 0. 0.167
6400 0.173 0. 0.173
6600 0.179 0. 0.179
6800 0.188 0. 0.188
7000 0.177 0. 0.177
7200 0.173 0. 0.173
7400 0.184 0. 0.184
7600 0.192 0. 0.192
7800 0.199 0. 0.198
8000 0.21 0. 0.21
8200 0.228 0. 0.228
8400 0.234 0. 0.234
8600 0.244 0. 0.244
8800 0.283 0. 0.283
9000 0.271 0. 0.271
9200 0.276 0. 0.276
9400 0.274 0. 0.274
9600 0.279 0. 0.279
9800 0.294 0. 0.294
10000 0.296 0. 0.296
10200 0.328 0. 0.328
10400 0.346 0. 0.346
10600 0.338 0. 0.338
10800 0.368 0. 0.368
11000 0.353 0. 0.353
11200 0.381 0. 0.381
11400 0.384 0. 0.384
11600 0.368 0. 0.368
11800 0.388 0. 0.388
12000 0.41 0. 0.41
12200 0.416 0. 0.416
12400 0.416 0. 0.416
12600 0.402 0. 0.402
12800 0.442 0. 0.442
13000 0.432 0. 0.432
13200 0.435 0. 0.435
13400 0.414 0. 0.414
13600 0.429 0. 0.431
13800 0.429 0. 0.429
14000 0.414 0. 0.414
14200 0.462 0. 0.462
14400 0.436 0. 0.436
14600 0.428 0. 0.428
14800 0.414 0. 0.414
15000 0.434 0. 0.433
15200 0.475 0. 0.475
15400 0.474 0. 0.473
15600 0.453 0. 0.453
15800 0.486 0. 0.486
16000 0.497 0. 0.497
16200 0.51 0. 0.51
16400 0.515 0. 0.515
16600 0.537 0. 0.537
16800 0.563 0. 0.563
17000 0.554 0. 0.554
17200 0.619 0. 0.619
17400 0.593 0. 0.593
17600 0.641 0. 0.641
17800 0.651 0. 0.651
18000 0.663 0. 0.663
18200 0.65 0. 0.65
18400 0.698 0. 0.698
18600 0.691 0. 0.69
18800 0.69 0. 0.69
19000 0.691 0. 0.691
19200 0.657 0. 0.657
19400 0.692 0. 0.692
19600 0.671 0. 0.671
19800 0.691 0. 0.691
20000 0.711 0. 0.711
