Params: 0-n= 131071 , 1-lgn= 16
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.142 secs (0.139u,0.003s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.049 secs (0.049u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.047 secs (0.047u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.048 secs (0.047u,0.s) (success)
Params: 0-n= 262143 , 1-lgn= 17
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.178 secs (0.169u,0.008s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.09 secs (0.09u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.097 secs (0.097u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.091 secs (0.091u,0.s) (success)
Params: 0-n= 524287 , 1-lgn= 18
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.317 secs (0.305u,0.011s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.209 secs (0.209u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.208 secs (0.208u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.216 secs (0.216u,0.s) (success)
Params: 0-n= 1048575 , 1-lgn= 19
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.682 secs (0.682u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.444 secs (0.444u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.442 secs (0.442u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.431 secs (0.431u,0.s) (success)
Params: 0-n= 2097151 , 1-lgn= 20
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 1.062 secs (1.062u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.855 secs (0.855u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.845 secs (0.845u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.85 secs (0.85u,0.s) (success)
Params: 0-n= 4194303 , 1-lgn= 21
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 1.909 secs (1.908u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 1.752 secs (1.752u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 1.695 secs (1.691u,0.003s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 1.728 secs (1.727u,0.s) (success)
Params: 0-n= 8388607 , 1-lgn= 22
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 3.84 secs (3.84u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 3.395 secs (3.395u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 3.499 secs (3.497u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 3.437 secs (3.436u,0.s) (success)
