param-n abstract-regression-cubic-real abstract-regression-cubic-sys abstract-regression-cubic-user close-abstract-regression-cubic-real close-abstract-regression-cubic-sys close-abstract-regression-cubic-user fast-rewrite-regression-cubic-real fast-rewrite-regression-cubic-sys fast-rewrite-regression-cubic-user pose-build-and-refine-regression-cubic-real pose-build-and-refine-regression-cubic-sys pose-build-and-refine-regression-cubic-user refine-regression-quadratic-regression-linear-real refine-regression-quadratic-regression-linear-sys refine-regression-quadratic-regression-linear-user
1 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 0.001 0. 0.001 0. 0. 0. 0.001 0. 0. 0.001 0. 0. 0. 0. 0.
3 0.001 0.001 0. 0. 0. 0. 0.001 0.001 0. 0.001 0.001 0. 0. 0. 0.
4 0.001 0. 0.001 0. 0. 0. 0.001 0. 0. 0.001 0. 0. 0. 0. 0.
5 0.002 0. 0.002 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
6 0.002 0. 0.001 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
7 0.001 0. 0.001 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
8 0.002 0. 0.002 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
9 0.004 0. 0.004 0. 0. 0. 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
10 0.003 0.001 0.002 0. 0. 0. 0.002 0. 0.001 0.002 0. 0.001 0. 0. 0.
11 0.004 0.003 0. 0.001 0.001 0. 0.002 0.002 0. 0.002 0.002 0. 0. 0. 0.
12 0.007 0.002 0.004 0. 0. 0. 0.006 0.002 0.003 0.006 0.002 0.003 0. 0. 0.
13 0.005 0. 0.005 0. 0. 0. 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
14 0.005 0.003 0.001 0.001 0. 0.001 0.003 0.003 0. 0.003 0.003 0. 0. 0. 0.
15 0.004 0. 0.004 0. 0. 0. 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
16 0.003 0. 0.003 0. 0. 0. 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
17 0.005 0. 0.005 0.001 0. 0.001 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
18 0.006 0. 0.006 0.001 0. 0.001 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
19 0.005 0. 0.005 0. 0. 0. 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
20 0.005 0. 0.005 0.001 0. 0.001 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
21 0.006 0. 0.005 0.001 0. 0.001 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
22 0.006 0. 0.006 0.001 0. 0.001 0.005 0. 0.005 0.004 0. 0.004 0. 0. 0.
23 0.006 0. 0.006 0.001 0. 0.001 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
24 0.006 0. 0.006 0.001 0. 0.001 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
25 0.007 0. 0.007 0.001 0. 0.001 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
26 0.007 0. 0.007 0.001 0. 0.001 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
27 0.009 0. 0.009 0.001 0. 0.001 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
28 0.009 0. 0.009 0.001 0. 0.001 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
29 0.007 0. 0.007 0.001 0. 0.001 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
30 0.009 0. 0.009 0.001 0. 0.001 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
31 0.009 0. 0.009 0.001 0. 0.001 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
32 0.009 0. 0.009 0.001 0. 0.001 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
33 0.009 0. 0.009 0.001 0. 0.001 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
34 0.012 0. 0.012 0.003 0. 0.003 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
35 0.016 0. 0.016 0.002 0. 0.002 0.013 0. 0.013 0.013 0. 0.013 0. 0. 0.
36 0.011 0. 0.011 0.002 0. 0.002 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
37 0.011 0. 0.011 0.002 0. 0.002 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
38 0.012 0. 0.012 0.002 0. 0.002 0.009 0. 0.009 0.009 0. 0.009 0. 0. 0.
39 0.012 0. 0.012 0.002 0. 0.002 0.009 0. 0.009 0.009 0. 0.009 0. 0. 0.
40 0.013 0. 0.013 0.003 0. 0.003 0.009 0. 0.009 0.009 0. 0.009 0. 0. 0.
41 0.016 0. 0.016 0.002 0. 0.002 0.012 0. 0.012 0.012 0. 0.012 0. 0. 0.
42 0.013 0. 0.013 0.003 0. 0.003 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
43 0.014 0.003 0.011 0.003 0. 0.003 0.01 0.002 0.007 0.01 0.002 0.007 0. 0. 0.
44 0.017 0. 0.017 0.003 0. 0.003 0.013 0. 0.013 0.013 0. 0.013 0. 0. 0.
45 0.014 0. 0.014 0.003 0. 0.003 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
46 0.023 0. 0.023 0.005 0. 0.005 0.017 0. 0.017 0.017 0. 0.017 0. 0. 0.
47 0.02 0. 0.02 0.004 0. 0.004 0.015 0. 0.015 0.015 0. 0.015 0. 0. 0.
48 0.016 0. 0.016 0.004 0. 0.004 0.011 0. 0.011 0.011 0. 0.011 0. 0. 0.
49 0.016 0. 0.016 0.003 0. 0.003 0.012 0. 0.012 0.012 0. 0.012 0. 0. 0.
50 0.025 0.016 0.008 0.006 0.003 0.002 0.019 0.012 0.006 0.019 0.012 0.006 0.001 0. 0.
51 0.019 0. 0.019 0.004 0. 0.004 0.014 0. 0.014 0.014 0. 0.014 0. 0. 0.
52 0.021 0. 0.021 0.005 0. 0.005 0.015 0. 0.015 0.015 0. 0.015 0. 0. 0.
53 0.021 0. 0.021 0.005 0. 0.005 0.016 0. 0.016 0.016 0. 0.016 0. 0. 0.
54 0.022 0. 0.022 0.006 0. 0.006 0.014 0. 0.014 0.014 0. 0.014 0. 0. 0.
55 0.021 0. 0.021 0.005 0. 0.005 0.016 0. 0.016 0.016 0. 0.016 0. 0. 0.
56 0.026 0. 0.026 0.006 0. 0.006 0.019 0. 0.019 0.019 0. 0.019 0. 0. 0.
57 0.024 0. 0.023 0.006 0. 0.01 0.017 0. 0.013 0.017 0. 0.013 0. 0. 0.
58 0.024 0. 0.024 0.005 0. 0.005 0.017 0. 0.017 0.017 0. 0.017 0. 0. 0.
59 0.028 0.003 0.025 0.006 0. 0.006 0.021 0.003 0.017 0.021 0.003 0.017 0. 0. 0.
60 0.026 0. 0.026 0.006 0. 0.006 0.019 0. 0.019 0.019 0. 0.019 0. 0. 0.
61 0.026 0. 0.026 0.006 0. 0.006 0.019 0. 0.019 0.019 0. 0.019 0. 0. 0.
62 0.028 0. 0.028 0.007 0. 0.007 0.02 0. 0.02 0.02 0. 0.02 0. 0. 0.
63 0.033 0. 0.033 0.007 0. 0.007 0.025 0. 0.025 0.025 0. 0.025 0. 0. 0.
64 0.028 0. 0.028 0.008 0. 0.008 0.019 0. 0.019 0.019 0. 0.019 0.001 0. 0.001
65 0.026 0. 0.026 0.006 0. 0.006 0.019 0. 0.019 0.019 0. 0.019 0. 0. 0.
66 0.03 0. 0.03 0.007 0. 0.007 0.022 0. 0.022 0.022 0. 0.022 0. 0. 0.
67 0.031 0. 0.031 0.007 0. 0.007 0.022 0. 0.022 0.022 0. 0.022 0.001 0. 0.001
68 0.03 0. 0.03 0.009 0. 0.009 0.021 0. 0.021 0.021 0. 0.021 0. 0. 0.
69 0.034 0. 0.034 0.008 0. 0.008 0.024 0. 0.024 0.024 0. 0.024 0. 0. 0.
70 0.03 0. 0.03 0.008 0. 0.008 0.021 0. 0.021 0.021 0. 0.021 0. 0. 0.
71 0.033 0. 0.033 0.008 0. 0.008 0.024 0. 0.024 0.024 0. 0.024 0.001 0. 0.001
72 0.032 0. 0.026 0.008 0. 0.003 0.022 0. 0.022 0.022 0. 0.022 0. 0. 0.
73 0.036 0. 0.042 0.01 0. 0.01 0.025 0. 0.025 0.025 0. 0.025 0.001 0. 0.001
74 0.035 0. 0.035 0.009 0. 0.009 0.025 0. 0.025 0.025 0. 0.025 0.001 0. 0.001
75 0.034 0. 0.034 0.009 0. 0.009 0.023 0. 0.023 0.023 0. 0.023 0.001 0. 0.001
76 0.035 0. 0.035 0.01 0. 0.01 0.024 0. 0.024 0.024 0. 0.024 0.001 0. 0.001
77 0.039 0. 0.039 0.01 0. 0.01 0.029 0. 0.028 0.029 0. 0.028 0.001 0. 0.001
78 0.036 0. 0.036 0.009 0. 0.009 0.025 0. 0.025 0.025 0. 0.025 0.001 0. 0.001
79 0.046 0. 0.046 0.011 0. 0.011 0.034 0. 0.034 0.034 0. 0.034 0.001 0. 0.001
80 0.04 0. 0.04 0.012 0. 0.012 0.027 0. 0.027 0.027 0. 0.027 0.001 0. 0.001
81 0.041 0. 0.041 0.013 0. 0.013 0.027 0. 0.027 0.027 0. 0.027 0.001 0. 0.001
82 0.048 0.003 0.043 0.016 0.003 0.012 0.03 0. 0.03 0.03 0. 0.03 0.001 0. 0.001
83 0.043 0. 0.044 0.012 0. 0.012 0.029 0. 0.031 0.029 0. 0.031 0.001 0. 0.001
84 0.044 0. 0.044 0.011 0. 0.011 0.032 0. 0.032 0.032 0. 0.032 0.001 0. 0.001
85 0.04 0. 0.04 0.011 0. 0.011 0.027 0. 0.027 0.027 0. 0.027 0.001 0. 0.001
86 0.05 0. 0.05 0.015 0. 0.014 0.034 0. 0.034 0.034 0. 0.034 0.001 0. 0.001
87 0.048 0. 0.048 0.015 0. 0.015 0.031 0. 0.031 0.031 0. 0.031 0.001 0. 0.001
88 0.054 0. 0.054 0.016 0. 0.016 0.036 0. 0.036 0.036 0. 0.036 0.001 0. 0.001
89 0.048 0. 0.048 0.015 0. 0.015 0.032 0. 0.032 0.032 0. 0.032 0.001 0. 0.001
90 0.048 0. 0.048 0.014 0. 0.014 0.033 0. 0.033 0.033 0. 0.033 0.001 0. 0.001
91 0.049 0. 0.049 0.015 0. 0.015 0.033 0. 0.033 0.033 0. 0.033 0.001 0. 0.001
92 0.053 0. 0.053 0.014 0. 0.014 0.037 0. 0.037 0.037 0. 0.037 0.001 0. 0.001
93 0.053 0. 0.053 0.016 0. 0.016 0.036 0. 0.036 0.036 0. 0.036 0.001 0. 0.001
94 0.054 0. 0.054 0.016 0. 0.016 0.036 0. 0.036 0.036 0. 0.036 0.001 0. 0.001
95 0.057 0. 0.057 0.02 0. 0.02 0.036 0. 0.036 0.036 0. 0.036 0.001 0. 0.001
96 0.057 0. 0.057 0.017 0. 0.017 0.039 0. 0.039 0.039 0. 0.039 0.001 0. 0.001
97 0.06 0. 0.06 0.016 0. 0.016 0.042 0. 0.042 0.042 0. 0.042 0.001 0. 0.001
98 0.055 0. 0.055 0.018 0. 0.018 0.036 0. 0.036 0.035 0. 0.035 0.001 0. 0.001
99 0.063 0.003 0.06 0.017 0.002 0.014 0.045 0. 0.045 0.045 0. 0.045 0.001 0. 0.001
100 0.127 0.027 0.098 0.021 0. 0.021 0.106 0.027 0.076 0.106 0.027 0.076 0.001 0. 0.001
110 0.075 0.004 0.071 0.028 0.004 0.024 0.046 0. 0.046 0.046 0. 0.046 0.001 0. 0.001
120 0.079 0. 0.079 0.028 0. 0.028 0.05 0. 0.05 0.05 0. 0.05 0.001 0. 0.001
130 0.127 0.008 0.119 0.039 0.003 0.035 0.087 0.004 0.082 0.087 0.004 0.082 0.001 0. 0.001
140 0.142 0. 0.142 0.043 0. 0.043 0.098 0. 0.097 0.097 0. 0.097 0.001 0. 0.001
150 0.149 0.003 0.145 0.054 0. 0.054 0.095 0.003 0.091 0.094 0.003 0.091 0.001 0. 0.001
160 0.192 0. 0.192 0.069 0. 0.069 0.121 0. 0.121 0.121 0. 0.121 0.002 0. 0.002
170 0.19 0. 0.19 0.078 0. 0.078 0.111 0. 0.111 0.111 0. 0.111 0.002 0. 0.002
180 0.222 0. 0.222 0.093 0. 0.093 0.127 0. 0.127 0.127 0. 0.127 0.001 0. 0.001
190 0.245 0. 0.245 0.1 0. 0.1 0.143 0. 0.143 0.143 0. 0.143 0.002 0. 0.002
200 0.31 0.003 0.306 0.124 0.003 0.12 0.185 0. 0.185 0.185 0. 0.185 0.002 0. 0.002
210 0.312 0. 0.312 0.139 0. 0.139 0.171 0. 0.171 0.171 0. 0.171 0.002 0. 0.002
