param-n fast-rewrite-regression-cubic-real fast-rewrite-regression-cubic-sys fast-rewrite-regression-cubic-user pose-build-and-refine-regression-cubic-real pose-build-and-refine-regression-cubic-sys pose-build-and-refine-regression-cubic-user refine-regression-quadratic-regression-linear-real refine-regression-quadratic-regression-linear-sys refine-regression-quadratic-regression-linear-user
1 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 0.001 0.001 0. 0.001 0.001 0. 0. 0. 0.
3 0.001 0.001 0. 0.001 0.001 0. 0. 0. 0.
50 0.017 0. 0.017 0.017 0. 0.017 0.001 0. 0.
100 0.101 0.011 0.089 0.101 0.011 0.089 0.001 0. 0.001
150 0.098 0.004 0.094 0.098 0.004 0.094 0.001 0. 0.001
200 0.206 0. 0.206 0.206 0. 0.206 0.002 0. 0.002
250 0.264 0.004 0.26 0.264 0.004 0.26 0.003 0. 0.003
300 0.353 0.007 0.345 0.353 0.007 0.345 0.003 0. 0.003
350 0.427 0.003 0.423 0.427 0.003 0.423 0.004 0. 0.004
400 0.635 0.011 0.622 0.635 0.011 0.622 0.005 0. 0.005
