param-n noop-repeat-rewrite-strat-bottomup-regression-cubic-real noop-repeat-rewrite-strat-bottomup-regression-cubic-sys noop-repeat-rewrite-strat-bottomup-regression-cubic-user noop-repeat-rewrite-strat-topdown-regression-cubic-real noop-repeat-rewrite-strat-topdown-regression-cubic-sys noop-repeat-rewrite-strat-topdown-regression-cubic-user noop-repeat-setoid-rewrite-regression-cubic-real noop-repeat-setoid-rewrite-regression-cubic-sys noop-repeat-setoid-rewrite-regression-cubic-user
0 0. 0. 0. 0. 0. 0. 0. 0. 0.
1 0. 0. 0. 0.001 0. 0.001 0. 0. 0.
2 0.001 0. 0.001 0.001 0.001 0. 0. 0. 0.
10 0.006 0.003 0.002 0.005 0.001 0.003 0.006 0.006 0.
20 0.012 0. 0.012 0.066 0.01 0.056 0.019 0.011 0.007
30 0.034 0. 0.034 0.032 0. 0.032 0.041 0. 0.041
40 0.071 0. 0.07 0.067 0. 0.067 0.072 0. 0.072
50 0.123 0. 0.123 0.12 0. 0.12 0.193 0.032 0.165
60 0.199 0. 0.199 0.201 0. 0.201 0.198 0. 0.198
70 0.329 0. 0.329 0.306 0. 0.306 0.327 0. 0.327
80 0.488 0.002 0.485 0.475 0. 0.475 0.498 0. 0.498
90 0.656 0. 0.656 0.627 0. 0.627 0.639 0. 0.639
100 0.855 0. 0.854 0.866 0. 0.866 0.892 0. 0.892
110 1.143 0. 1.143 1.127 0. 1.127 1.179 0. 1.179
120 1.494 0. 1.494 1.505 0. 1.504 1.449 0. 1.449
130 1.873 0. 1.873 1.888 0. 1.888 1.919 0. 1.918
140 2.326 0. 2.325 2.346 0.003 2.343 2.327 0. 2.326
150 2.92 0. 2.92 2.828 0.003 2.824 2.898 0. 2.897
160 3.483 0. 3.482 3.479 0. 3.478 3.496 0. 3.496
170 4.086 0. 4.085 4.125 0. 4.125 4.156 0. 4.156
180 5.049 0. 5.048 4.932 0. 4.931 4.988 0. 4.987
190 5.971 0. 5.97 5.846 0.003 5.841 5.8 0. 5.799
200 6.942 0. 6.941 6.837 0.004 6.827 6.8 0. 6.798
