param-n abstract-regression-quadratic-real abstract-regression-quadratic-sys abstract-regression-quadratic-user close-abstract-regression-quadratic-real close-abstract-regression-quadratic-sys close-abstract-regression-quadratic-user ssr-rewrite!-regression-quadratic-real ssr-rewrite!-regression-quadratic-sys ssr-rewrite!-regression-quadratic-user ssr-rewrite?-noop-regression-linear-real ssr-rewrite?-noop-regression-linear-sys ssr-rewrite?-noop-regression-linear-user
1 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
3 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
50 0.136 0.032 0.104 0.094 0.015 0.079 0.041 0.016 0.024 0. 0. 0.
100 0.299 0. 0.299 0.176 0. 0.176 0.121 0. 0.121 0. 0. 0.
150 0.673 0.007 0.665 0.403 0.004 0.399 0.268 0.003 0.265 0. 0. 0.
200 1.13 0.007 1.122 0.649 0.004 0.645 0.479 0.003 0.475 0. 0. 0.
250 1.689 0.008 1.68 0.966 0.003 0.962 0.721 0.004 0.716 0. 0. 0.
300 2.514 0.011 2.501 1.443 0.007 1.435 1.069 0.003 1.065 0. 0. 0.
350 3.336 0.019 3.315 1.94 0.003 1.936 1.394 0.015 1.378 0. 0. 0.
400 4.392 0.02 4.37 2.476 0.004 2.471 1.913 0.015 1.897 0. 0. 0.
