param-n abstract+rewrite-strat-bottomup-real abstract+rewrite-strat-bottomup-sys abstract+rewrite-strat-bottomup-user abstract+rewrite-strat-topdown-real abstract+rewrite-strat-topdown-sys abstract+rewrite-strat-topdown-user close-abstract+rewrite-strat-bottomup-real close-abstract+rewrite-strat-bottomup-sys close-abstract+rewrite-strat-bottomup-user close-abstract+rewrite-strat-topdown-real close-abstract+rewrite-strat-topdown-sys close-abstract+rewrite-strat-topdown-user rewrite-strat-bottomup-real rewrite-strat-bottomup-sys rewrite-strat-bottomup-user rewrite-strat-bottomup-noop-real rewrite-strat-bottomup-noop-sys rewrite-strat-bottomup-noop-user rewrite-strat-topdown-real rewrite-strat-topdown-sys rewrite-strat-topdown-user rewrite-strat-topdown-noop-real rewrite-strat-topdown-noop-sys rewrite-strat-topdown-noop-user
1 0. 0. 0. 0.001 0. 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 0.002 0.001 0. 0.001 0.001 0. 0. 0. 0. 0. 0. 0. 0.001 0. 0. 0. 0. 0. 0.001 0.001 0. 0. 0. 0.
3 0.003 0.003 0. 0.001 0.001 0. 0.001 0.001 0. 0. 0. 0. 0.001 0.001 0. 0. 0. 0. 0.001 0.001 0. 0. 0. 0.
50 0.169 0.04 0.128 0.119 0.024 0.095 0.029 0. 0.029 0.076 0.007 0.069 0.137 0.04 0.097 0. 0. 0. 0.042 0.016 0.025 0. 0. 0.
100 0.363 0. 0.363 0.203 0.001 0.201 0.132 0. 0.131 0.091 0.001 0.09 0.229 0. 0.229 0.001 0. 0.001 0.109 0. 0.108 0.001 0. 0.001
150 0.831 0. 0.831 0.539 0.003 0.535 0.309 0. 0.309 0.224 0.003 0.22 0.517 0. 0.517 0.002 0. 0.002 0.311 0. 0.311 0.002 0. 0.002
200 1.442 0.023 1.418 0.893 0.007 0.885 0.476 0.007 0.468 0.386 0.004 0.382 0.961 0.015 0.945 0.004 0. 0.004 0.502 0.003 0.498 0.004 0. 0.004
250 2.304 0.024 2.277 1.331 0.003 1.327 0.787 0.007 0.779 0.539 0. 0.538 1.51 0.017 1.491 0.005 0. 0.005 0.784 0.003 0.78 0.006 0. 0.006
300 3.264 0.019 3.243 2.008 0.015 1.992 1.03 0.007 1.021 0.817 0.007 0.809 2.226 0.011 2.213 0.007 0. 0.007 1.181 0.008 1.173 0.008 0. 0.008
350 4.487 0. 4.485 2.772 0.044 2.728 1.43 0. 1.43 1.02 0.012 1.008 3.042 0. 3.04 0.01 0. 0.01 1.732 0.031 1.7 0.018 0. 0.018
400 6.042 0.043 5.996 3.652 0.016 3.634 1.815 0.02 1.794 1.337 0. 1.337 4.201 0.023 4.177 0.023 0. 0.023 2.292 0.016 2.275 0.014 0. 0.014
