param-n abstract+rewrite-strat-bottomup-real abstract+rewrite-strat-bottomup-sys abstract+rewrite-strat-bottomup-user abstract+rewrite-strat-topdown-real abstract+rewrite-strat-topdown-sys abstract+rewrite-strat-topdown-user close-abstract+rewrite-strat-bottomup-real close-abstract+rewrite-strat-bottomup-sys close-abstract+rewrite-strat-bottomup-user close-abstract+rewrite-strat-topdown-real close-abstract+rewrite-strat-topdown-sys close-abstract+rewrite-strat-topdown-user rewrite-strat-bottomup-real rewrite-strat-bottomup-sys rewrite-strat-bottomup-user rewrite-strat-bottomup-noop-real rewrite-strat-bottomup-noop-sys rewrite-strat-bottomup-noop-user rewrite-strat-topdown-real rewrite-strat-topdown-sys rewrite-strat-topdown-user rewrite-strat-topdown-noop-real rewrite-strat-topdown-noop-sys rewrite-strat-topdown-noop-user
33 0.039 0. 0.039 0.022 0. 0.022 0.011 0. 0.011 0.008 0. 0.008 0.026 0. 0.026 0. 0. 0. 0.012 0. 0.012 0. 0. 0.
34 0.04 0. 0.04 0.022 0. 0.022 0.012 0. 0.012 0.009 0. 0.009 0.026 0. 0.026 0. 0. 0. 0.012 0. 0.012 0. 0. 0.
35 0.043 0. 0.043 0.025 0. 0.025 0.016 0. 0.016 0.009 0. 0.009 0.026 0. 0.026 0. 0. 0. 0.014 0. 0.014 0. 0. 0.
36 0.043 0. 0.043 0.024 0. 0.024 0.014 0. 0.014 0.01 0. 0.01 0.028 0. 0.028 0. 0. 0. 0.013 0. 0.013 0. 0. 0.
37 0.045 0. 0.045 0.027 0. 0.027 0.014 0. 0.014 0.01 0. 0.01 0.03 0. 0.03 0. 0. 0. 0.015 0. 0.015 0. 0. 0.
38 0.047 0. 0.047 0.027 0. 0.027 0.015 0. 0.015 0.011 0. 0.011 0.031 0. 0.031 0. 0. 0. 0.015 0. 0.015 0. 0. 0.
39 0.049 0. 0.049 0.032 0. 0.032 0.015 0. 0.015 0.011 0. 0.011 0.033 0. 0.033 0. 0. 0. 0.019 0. 0.019 0. 0. 0.
40 0.053 0. 0.053 0.03 0. 0.03 0.017 0. 0.017 0.013 0. 0.013 0.035 0. 0.035 0. 0. 0. 0.016 0. 0.016 0. 0. 0.
41 0.054 0. 0.054 0.031 0. 0.031 0.017 0. 0.017 0.013 0. 0.013 0.034 0. 0.034 0.001 0. 0.001 0.017 0. 0.017 0. 0. 0.
42 0.059 0. 0.059 0.034 0. 0.034 0.018 0. 0.018 0.013 0. 0.013 0.036 0. 0.036 0.003 0. 0.003 0.019 0. 0.019 0. 0. 0.
43 0.06 0. 0.06 0.034 0. 0.034 0.019 0. 0.019 0.014 0. 0.014 0.04 0. 0.04 0. 0. 0. 0.018 0. 0.018 0. 0. 0.
44 0.064 0. 0.064 0.035 0. 0.035 0.02 0. 0.02 0.014 0. 0.014 0.042 0. 0.042 0. 0. 0. 0.019 0. 0.019 0. 0. 0.
45 0.064 0. 0.064 0.037 0. 0.037 0.02 0. 0.02 0.015 0. 0.015 0.043 0. 0.043 0. 0. 0. 0.021 0. 0.021 0. 0. 0.
46 0.069 0. 0.069 0.039 0. 0.039 0.022 0. 0.022 0.017 0. 0.017 0.046 0. 0.046 0. 0. 0. 0.021 0. 0.021 0. 0. 0.
47 0.071 0. 0.071 0.041 0. 0.041 0.025 0. 0.025 0.017 0. 0.017 0.045 0. 0.045 0. 0. 0. 0.022 0. 0.022 0. 0. 0.
48 0.072 0. 0.072 0.041 0. 0.041 0.024 0. 0.024 0.017 0. 0.017 0.046 0. 0.046 0. 0. 0. 0.022 0. 0.022 0. 0. 0.
49 0.075 0. 0.075 0.043 0. 0.043 0.025 0. 0.025 0.018 0. 0.018 0.049 0. 0.049 0. 0. 0. 0.024 0. 0.024 0. 0. 0.
