param-0-univ-count param-1-n abstract-regression-quadratic-real abstract-regression-quadratic-sys abstract-regression-quadratic-user close-abstract-regression-quadratic-real close-abstract-regression-quadratic-sys close-abstract-regression-quadratic-user exact-regression-linear-real exact-regression-linear-sys exact-regression-linear-user
1 0 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 1 0.001 0.001 0. 0. 0. 0. 0. 0. 0.
4 2 0. 0. 0. 0.001 0.001 0. 0. 0. 0.
8 3 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
16 4 0.003 0. 0.003 0.001 0. 0.001 0.001 0. 0.001
32 5 0.006 0.003 0.003 0.003 0. 0.002 0.002 0.002 0.
64 6 0.012 0.007 0.004 0.008 0.007 0. 0.004 0. 0.004
128 7 0.082 0.026 0.056 0.065 0.016 0.049 0.015 0.009 0.006
256 8 0.048 0. 0.048 0.034 0. 0.034 0.014 0. 0.013
512 9 0.135 0. 0.134 0.105 0. 0.105 0.029 0. 0.029
1024 10 0.333 0.013 0.319 0.271 0.011 0.26 0.061 0.002 0.058
2048 11 1.037 0.014 1.022 0.887 0.014 0.873 0.148 0. 0.148
4096 12 2.949 0.015 2.932 2.65 0.012 2.637 0.298 0.003 0.294
8192 13 10.016 0.011 10.002 9.396 0.011 9.382 0.619 0. 0.619
16384 14 34.011 0.088 33.917 32.714 0.072 32.636 1.296 0.015 1.281
