param-n abstract-regression-cubic-real abstract-regression-cubic-sys abstract-regression-cubic-user close-abstract-regression-cubic-real close-abstract-regression-cubic-sys close-abstract-regression-cubic-user fast-rewrite-regression-cubic-real fast-rewrite-regression-cubic-sys fast-rewrite-regression-cubic-user pose-build-and-refine-regression-cubic-real pose-build-and-refine-regression-cubic-sys pose-build-and-refine-regression-cubic-user refine-regression-quadratic-regression-linear-real refine-regression-quadratic-regression-linear-sys refine-regression-quadratic-regression-linear-user
1 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 0.001 0. 0.001 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
3 0.001 0. 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
50 0.017 0.007 0.009 0.006 0. 0.006 0.011 0.007 0.003 0.011 0.007 0.003 0.001 0. 0.
100 0.097 0.028 0.069 0.069 0.024 0.045 0.027 0.004 0.023 0.027 0.004 0.023 0.002 0. 0.002
150 0.083 0. 0.083 0.042 0. 0.041 0.041 0. 0.041 0.041 0. 0.041 0.001 0. 0.001
200 0.172 0.003 0.168 0.086 0. 0.086 0.085 0.003 0.081 0.085 0.003 0.081 0.002 0. 0.001
250 0.298 0.004 0.293 0.169 0. 0.168 0.128 0.003 0.124 0.128 0.003 0.124 0.003 0. 0.003
300 0.47 0.016 0.451 0.275 0.004 0.27 0.194 0.012 0.18 0.194 0.011 0.18 0.003 0. 0.003
350 0.62 0.012 0.607 0.433 0. 0.433 0.186 0.012 0.174 0.186 0.012 0.174 0.004 0. 0.004
400 0.876 0.019 0.856 0.644 0.011 0.632 0.231 0.008 0.223 0.231 0.008 0.223 0.005 0. 0.005
