param-n abstract+autorewrite-regression-quadratic-real abstract+autorewrite-regression-quadratic-sys abstract+autorewrite-regression-quadratic-user abstract+rewrite!-regression-quadratic-real abstract+rewrite!-regression-quadratic-sys abstract+rewrite!-regression-quadratic-user autorewrite-noop-regression-linear-real autorewrite-noop-regression-linear-sys autorewrite-noop-regression-linear-user autorewrite-regression-quadratic-real autorewrite-regression-quadratic-sys autorewrite-regression-quadratic-user close-abstract+autorewrite-regression-quadratic-real close-abstract+autorewrite-regression-quadratic-sys close-abstract+autorewrite-regression-quadratic-user close-abstract+rewrite!-regression-quadratic-real close-abstract+rewrite!-regression-quadratic-sys close-abstract+rewrite!-regression-quadratic-user rewrite!-regression-quadratic-real rewrite!-regression-quadratic-sys rewrite!-regression-quadratic-user rewrite?-noop-regression-linear-real rewrite?-noop-regression-linear-sys rewrite?-noop-regression-linear-user
1 0.001 0. 0. 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 0.001 0.001 0. 0.001 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
3 0.001 0.001 0. 0.001 0.001 0. 0. 0. 0. 0.001 0.001 0. 0. 0. 0. 0. 0. 0. 0.001 0.001 0. 0. 0. 0.
50 0.126 0.018 0.108 0.129 0.04 0.089 0. 0. 0. 0.104 0.018 0.086 0.021 0. 0.021 0.028 0. 0.028 0.099 0.04 0.059 0. 0. 0.
100 0.244 0.003 0.24 0.233 0. 0.233 0.001 0. 0.001 0.142 0.003 0.139 0.099 0. 0.099 0.097 0. 0.097 0.134 0. 0.134 0.001 0. 0.001
150 0.534 0.002 0.532 0.544 0.003 0.541 0.002 0. 0.002 0.313 0. 0.313 0.217 0.002 0.215 0.211 0.003 0.208 0.329 0. 0.329 0.002 0. 0.002
200 0.946 0.007 0.938 0.948 0. 0.948 0.003 0. 0.003 0.565 0. 0.565 0.376 0.007 0.368 0.375 0. 0.375 0.569 0. 0.569 0.003 0. 0.003
250 1.446 0.003 1.442 1.456 0.006 1.449 0.005 0. 0.005 0.896 0. 0.896 0.544 0.003 0.54 0.544 0. 0.544 0.906 0.006 0.899 0.004 0. 0.004
300 2.183 0.003 2.179 2.147 0.015 2.131 0.006 0. 0.006 1.326 0. 1.326 0.849 0.003 0.845 0.813 0.012 0.801 1.325 0.003 1.321 0.007 0. 0.007
350 3.024 0.007 3.016 3.033 0.004 3.027 0.008 0. 0.008 1.926 0.007 1.918 1.088 0. 1.088 1.066 0.004 1.061 1.957 0. 1.956 0.008 0. 0.008
400 4.014 0.016 3.997 3.993 0.012 3.979 0.009 0. 0.009 2.539 0.008 2.531 1.463 0.008 1.455 1.441 0.004 1.437 2.54 0.008 2.531 0.01 0. 0.009
