param-n abstract+autorewrite-regression-quadratic-real abstract+autorewrite-regression-quadratic-sys abstract+autorewrite-regression-quadratic-user abstract+rewrite!-regression-quadratic-real abstract+rewrite!-regression-quadratic-sys abstract+rewrite!-regression-quadratic-user autorewrite-noop-regression-linear-real autorewrite-noop-regression-linear-sys autorewrite-noop-regression-linear-user autorewrite-regression-quadratic-real autorewrite-regression-quadratic-sys autorewrite-regression-quadratic-user close-abstract+autorewrite-regression-quadratic-real close-abstract+autorewrite-regression-quadratic-sys close-abstract+autorewrite-regression-quadratic-user close-abstract+rewrite!-regression-quadratic-real close-abstract+rewrite!-regression-quadratic-sys close-abstract+rewrite!-regression-quadratic-user rewrite!-regression-quadratic-real rewrite!-regression-quadratic-sys rewrite!-regression-quadratic-user rewrite?-noop-regression-linear-real rewrite?-noop-regression-linear-sys rewrite?-noop-regression-linear-user
28 0.024 0. 0.024 0.022 0. 0.022 0. 0. 0. 0.015 0. 0.015 0.008 0. 0.008 0.008 0. 0.008 0.012 0. 0.012 0. 0. 0.
29 0.023 0. 0.023 0.025 0. 0.025 0. 0. 0. 0.014 0. 0.014 0.008 0. 0.008 0.008 0. 0.008 0.016 0. 0.016 0. 0. 0.
30 0.025 0. 0.025 0.024 0. 0.024 0. 0. 0. 0.014 0. 0.014 0.009 0. 0.009 0.009 0. 0.009 0.014 0. 0.014 0. 0. 0.
31 0.028 0. 0.027 0.027 0. 0.027 0. 0. 0. 0.017 0. 0.017 0.009 0. 0.009 0.009 0. 0.009 0.016 0. 0.016 0. 0. 0.
32 0.029 0. 0.029 0.027 0. 0.027 0. 0. 0. 0.016 0. 0.016 0.012 0. 0.012 0.01 0. 0.01 0.016 0. 0.016 0. 0. 0.
33 0.029 0. 0.029 0.031 0. 0.031 0. 0. 0. 0.017 0. 0.017 0.01 0. 0.01 0.01 0. 0.01 0.019 0. 0.019 0. 0. 0.
34 0.032 0.003 0.029 0.03 0. 0.03 0. 0. 0. 0.018 0. 0.018 0.013 0.003 0.009 0.011 0. 0.011 0.017 0. 0.017 0. 0. 0.
35 0.032 0. 0.032 0.032 0. 0.032 0. 0. 0. 0.019 0. 0.019 0.012 0. 0.012 0.011 0. 0.011 0.019 0. 0.019 0. 0. 0.
36 0.036 0. 0.036 0.035 0. 0.035 0. 0. 0. 0.022 0. 0.022 0.012 0. 0.012 0.014 0. 0.014 0.019 0. 0.019 0. 0. 0.
37 0.039 0. 0.039 0.035 0. 0.035 0. 0. 0. 0.023 0. 0.023 0.015 0. 0.015 0.013 0. 0.013 0.02 0. 0.02 0. 0. 0.
38 0.038 0. 0.038 0.038 0. 0.038 0. 0. 0. 0.023 0. 0.023 0.014 0. 0.014 0.013 0. 0.013 0.023 0. 0.023 0. 0. 0.
39 0.04 0. 0.04 0.041 0. 0.041 0. 0. 0. 0.024 0. 0.024 0.014 0. 0.014 0.017 0. 0.017 0.022 0. 0.022 0. 0. 0.
40 0.041 0. 0.041 0.04 0. 0.04 0. 0. 0. 0.023 0. 0.023 0.016 0. 0.016 0.015 0. 0.015 0.024 0. 0.024 0. 0. 0.
41 0.042 0. 0.042 0.043 0. 0.043 0. 0. 0. 0.024 0. 0.024 0.016 0. 0.016 0.016 0. 0.016 0.026 0. 0.026 0. 0. 0.
42 0.046 0. 0.046 0.05 0. 0.05 0. 0. 0. 0.028 0. 0.028 0.016 0. 0.016 0.016 0. 0.017 0.032 0. 0.032 0. 0. 0.
43 0.047 0. 0.047 0.047 0. 0.047 0. 0. 0. 0.028 0. 0.028 0.017 0. 0.017 0.019 0. 0.019 0.027 0. 0.027 0. 0. 0.
44 0.05 0. 0.05 0.05 0. 0.05 0. 0. 0. 0.03 0. 0.03 0.018 0. 0.018 0.02 0. 0.02 0.028 0. 0.028 0. 0. 0.
45 0.051 0. 0.051 0.051 0. 0.051 0. 0. 0. 0.031 0. 0.031 0.019 0. 0.019 0.02 0. 0.02 0.029 0. 0.029 0. 0. 0.
46 0.054 0. 0.054 0.053 0. 0.053 0. 0. 0. 0.032 0. 0.032 0.02 0. 0.02 0.02 0. 0.02 0.03 0. 0.03 0. 0. 0.
47 0.055 0. 0.055 0.054 0.003 0.051 0. 0. 0. 0.033 0. 0.033 0.02 0. 0.02 0.021 0.003 0.018 0.032 0. 0.032 0. 0. 0.
48 0.06 0. 0.06 0.056 0. 0.056 0. 0. 0. 0.037 0. 0.037 0.022 0. 0.022 0.022 0. 0.022 0.033 0. 0.032 0. 0. 0.
49 0.059 0. 0.059 0.059 0. 0.059 0. 0. 0. 0.036 0. 0.036 0.022 0. 0.022 0.023 0. 0.023 0.034 0. 0.034 0. 0. 0.
50 0.126 0.04 0.085 0.126 0.02 0.105 0. 0. 0. 0.103 0.039 0.063 0.021 0. 0.021 0.022 0. 0.022 0.102 0.02 0.081 0. 0. 0.
51 0.065 0. 0.065 0.063 0. 0.063 0. 0. 0. 0.039 0. 0.039 0.024 0. 0.024 0.025 0. 0.025 0.036 0. 0.036 0. 0. 0.
52 0.066 0. 0.066 0.066 0. 0.066 0. 0. 0. 0.039 0. 0.039 0.025 0. 0.025 0.024 0. 0.024 0.039 0. 0.039 0. 0. 0.
53 0.07 0. 0.07 0.07 0. 0.07 0. 0. 0. 0.041 0. 0.041 0.027 0. 0.027 0.026 0. 0.026 0.042 0. 0.042 0. 0. 0.
54 0.071 0. 0.071 0.072 0. 0.072 0. 0. 0. 0.04 0. 0.04 0.029 0. 0.029 0.028 0. 0.028 0.042 0. 0.042 0. 0. 0.
55 0.074 0. 0.074 0.072 0. 0.072 0. 0. 0. 0.044 0. 0.044 0.028 0. 0.028 0.029 0. 0.029 0.042 0. 0.042 0. 0. 0.
56 0.079 0. 0.079 0.076 0. 0.076 0. 0. 0. 0.047 0. 0.047 0.03 0. 0.03 0.029 0. 0.029 0.045 0. 0.045 0. 0. 0.
57 0.078 0. 0.078 0.079 0. 0.079 0. 0. 0. 0.046 0. 0.046 0.03 0. 0.03 0.032 0. 0.032 0.046 0. 0.046 0. 0. 0.
58 0.083 0.003 0.079 0.083 0. 0.083 0.001 0. 0. 0.048 0.003 0.044 0.033 0. 0.033 0.03 0. 0.03 0.05 0. 0.05 0. 0. 0.
59 0.083 0. 0.083 0.094 0. 0.094 0. 0. 0. 0.049 0. 0.049 0.032 0. 0.032 0.041 0. 0.041 0.051 0. 0.051 0. 0. 0.
60 0.09 0. 0.09 0.091 0. 0.091 0. 0. 0. 0.052 0. 0.052 0.035 0. 0.035 0.033 0. 0.033 0.055 0. 0.055 0. 0. 0.
61 0.09 0. 0.09 0.089 0. 0.089 0. 0. 0. 0.053 0. 0.053 0.035 0. 0.035 0.036 0. 0.036 0.051 0. 0.051 0. 0. 0.
62 0.093 0. 0.093 0.093 0. 0.093 0. 0. 0. 0.054 0. 0.054 0.037 0. 0.037 0.037 0. 0.037 0.054 0. 0.054 0. 0. 0.
63 0.095 0. 0.095 0.093 0. 0.093 0. 0. 0. 0.055 0. 0.055 0.038 0. 0.038 0.035 0. 0.035 0.056 0. 0.055 0.001 0. 0.001
64 0.1 0. 0.1 0.1 0. 0.1 0. 0. 0. 0.058 0. 0.058 0.04 0. 0.04 0.036 0. 0.036 0.058 0. 0.058 0.004 0. 0.004
65 0.099 0. 0.099 0.105 0. 0.105 0. 0. 0. 0.059 0. 0.059 0.038 0. 0.038 0.041 0. 0.041 0.062 0. 0.062 0. 0. 0.
66 0.107 0. 0.107 0.105 0. 0.105 0.001 0. 0.001 0.065 0. 0.065 0.04 0. 0.04 0.042 0. 0.042 0.061 0. 0.061 0.001 0. 0.001
67 0.112 0. 0.112 0.109 0. 0.108 0.001 0. 0.001 0.069 0. 0.069 0.041 0. 0.041 0.043 0. 0.043 0.063 0. 0.063 0.001 0. 0.001
68 0.117 0. 0.117 0.11 0. 0.11 0.001 0. 0.001 0.073 0. 0.073 0.042 0. 0.042 0.043 0. 0.043 0.064 0. 0.064 0.001 0. 0.001
69 0.118 0. 0.118 0.113 0. 0.113 0.001 0. 0.001 0.073 0. 0.073 0.043 0. 0.043 0.045 0. 0.045 0.066 0. 0.066 0.001 0. 0.001
70 0.12 0. 0.12 0.119 0. 0.119 0.001 0. 0.001 0.073 0. 0.073 0.044 0. 0.044 0.047 0. 0.047 0.07 0. 0.07 0.001 0. 0.001
71 0.129 0. 0.129 0.122 0.003 0.119 0.001 0. 0.001 0.076 0. 0.076 0.051 0. 0.051 0.049 0.003 0.045 0.071 0. 0.071 0.001 0. 0.001
72 0.125 0. 0.125 0.125 0. 0.125 0.001 0. 0.001 0.072 0. 0.072 0.051 0. 0.051 0.047 0. 0.047 0.076 0. 0.076 0.001 0. 0.001
73 0.136 0. 0.136 0.141 0. 0.141 0.001 0. 0.001 0.072 0. 0.072 0.062 0. 0.062 0.056 0. 0.056 0.082 0. 0.082 0.001 0. 0.001
74 0.136 0. 0.136 0.133 0. 0.133 0.001 0. 0.001 0.081 0. 0.081 0.053 0. 0.052 0.054 0. 0.054 0.076 0. 0.076 0.001 0. 0.001
75 0.136 0. 0.136 0.132 0. 0.132 0.001 0. 0.001 0.079 0. 0.079 0.055 0. 0.055 0.051 0. 0.051 0.079 0. 0.079 0.001 0. 0.001
76 0.141 0.003 0.137 0.134 0. 0.134 0.001 0. 0.001 0.084 0.003 0.08 0.054 0. 0.054 0.054 0. 0.054 0.077 0. 0.077 0.001 0. 0.001
77 0.151 0. 0.151 0.165 0. 0.165 0.001 0. 0.001 0.089 0. 0.089 0.059 0. 0.059 0.061 0. 0.061 0.102 0. 0.101 0.001 0. 0.001
78 0.146 0. 0.146 0.145 0. 0.145 0.001 0. 0.001 0.085 0. 0.085 0.059 0. 0.059 0.059 0. 0.059 0.083 0. 0.083 0.001 0. 0.001
79 0.146 0. 0.146 0.148 0. 0.148 0.001 0. 0.001 0.084 0. 0.084 0.059 0. 0.059 0.059 0. 0.059 0.086 0. 0.086 0.001 0. 0.001
80 0.16 0. 0.16 0.16 0. 0.16 0.001 0. 0.001 0.094 0. 0.094 0.064 0. 0.064 0.066 0. 0.066 0.092 0. 0.092 0.001 0. 0.001
81 0.156 0. 0.156 0.156 0. 0.156 0.001 0. 0.001 0.091 0. 0.091 0.062 0. 0.062 0.063 0. 0.063 0.09 0. 0.09 0.001 0. 0.001
82 0.168 0. 0.168 0.157 0. 0.157 0.001 0. 0.001 0.098 0. 0.098 0.068 0. 0.068 0.063 0. 0.063 0.091 0. 0.091 0.001 0. 0.001
83 0.165 0. 0.165 0.168 0. 0.168 0.001 0. 0.001 0.096 0. 0.096 0.066 0. 0.066 0.067 0. 0.067 0.098 0. 0.098 0.001 0. 0.001
84 0.17 0. 0.17 0.166 0. 0.166 0.001 0. 0.001 0.099 0. 0.099 0.068 0. 0.068 0.066 0. 0.066 0.097 0. 0.097 0.001 0. 0.001
85 0.167 0. 0.167 0.176 0. 0.176 0.001 0. 0.001 0.099 0. 0.099 0.065 0. 0.065 0.071 0. 0.071 0.102 0. 0.102 0.001 0. 0.001
86 0.17 0.003 0.166 0.173 0. 0.173 0.001 0. 0.001 0.102 0.003 0.099 0.065 0. 0.065 0.071 0. 0.071 0.099 0. 0.099 0.001 0. 0.001
87 0.171 0.003 0.167 0.173 0. 0.173 0.001 0. 0.001 0.101 0. 0.101 0.067 0.003 0.063 0.066 0. 0.066 0.104 0. 0.104 0.001 0. 0.001
88 0.18 0. 0.18 0.179 0. 0.179 0.001 0. 0.001 0.107 0. 0.107 0.07 0. 0.07 0.069 0. 0.069 0.106 0. 0.106 0.001 0. 0.001
89 0.183 0. 0.183 0.185 0. 0.185 0.001 0. 0.001 0.109 0. 0.109 0.071 0. 0.071 0.074 0. 0.074 0.108 0. 0.108 0.001 0. 0.001
90 0.185 0. 0.185 0.193 0. 0.193 0.001 0. 0.001 0.108 0. 0.108 0.074 0. 0.074 0.071 0. 0.071 0.118 0. 0.118 0.001 0. 0.001
91 0.195 0. 0.195 0.19 0. 0.19 0.001 0. 0.001 0.118 0. 0.118 0.074 0. 0.074 0.074 0. 0.074 0.113 0. 0.113 0.001 0. 0.001
92 0.193 0. 0.193 0.202 0. 0.201 0.001 0. 0.001 0.115 0. 0.115 0.075 0. 0.075 0.078 0. 0.078 0.121 0. 0.121 0.001 0. 0.001
93 0.201 0. 0.201 0.209 0. 0.209 0.001 0. 0.001 0.122 0. 0.122 0.077 0. 0.077 0.079 0. 0.079 0.128 0. 0.128 0.001 0. 0.001
94 0.204 0. 0.204 0.202 0.003 0.198 0.001 0. 0.001 0.123 0. 0.123 0.078 0. 0.078 0.079 0. 0.079 0.119 0.003 0.115 0.001 0. 0.001
95 0.207 0. 0.207 0.206 0. 0.206 0.001 0. 0.001 0.12 0. 0.12 0.084 0. 0.084 0.08 0. 0.08 0.123 0. 0.123 0.001 0. 0.001
96 0.21 0. 0.21 0.213 0. 0.21 0.001 0. 0.001 0.123 0. 0.123 0.084 0. 0.084 0.084 0. 0.081 0.126 0. 0.126 0.001 0. 0.001
97 0.214 0.003 0.21 0.218 0. 0.222 0.001 0. 0.001 0.126 0.003 0.122 0.085 0. 0.085 0.084 0. 0.084 0.131 0. 0.135 0.001 0. 0.001
98 0.223 0. 0.223 0.222 0. 0.222 0.001 0. 0.001 0.133 0. 0.133 0.087 0. 0.087 0.085 0. 0.085 0.133 0. 0.133 0.001 0. 0.001
99 0.226 0. 0.226 0.227 0. 0.227 0.001 0. 0.001 0.133 0. 0.133 0.09 0. 0.09 0.089 0. 0.089 0.134 0. 0.134 0.001 0. 0.001
100 0.239 0. 0.239 0.244 0.003 0.241 0.001 0. 0.004 0.14 0. 0.137 0.096 0. 0.096 0.097 0. 0.097 0.145 0.002 0.141 0.001 0. 0.001
110 0.289 0. 0.288 0.278 0.003 0.274 0.001 0. 0.001 0.171 0. 0.171 0.114 0. 0.114 0.106 0. 0.106 0.167 0.003 0.163 0.001 0. 0.001
120 0.341 0.003 0.337 0.343 0. 0.343 0.001 0. 0.001 0.194 0. 0.194 0.144 0.003 0.14 0.14 0. 0.14 0.199 0. 0.199 0.001 0. 0.001
130 0.405 0. 0.405 0.41 0. 0.41 0.002 0. 0.002 0.24 0. 0.24 0.161 0. 0.161 0.162 0. 0.162 0.241 0. 0.241 0.005 0. 0.005
140 0.48 0. 0.48 0.478 0.003 0.474 0.002 0. 0.002 0.288 0. 0.288 0.188 0. 0.188 0.197 0. 0.197 0.276 0.003 0.273 0.002 0. 0.002
150 0.542 0. 0.542 0.556 0.005 0.55 0.002 0. 0.002 0.321 0. 0.321 0.217 0. 0.217 0.219 0. 0.219 0.333 0.005 0.327 0.002 0. 0.002
160 0.638 0. 0.638 0.627 0.003 0.623 0.002 0. 0.002 0.376 0. 0.376 0.258 0. 0.258 0.253 0. 0.253 0.367 0.003 0.363 0.005 0. 0.005
170 0.719 0.007 0.711 0.704 0. 0.704 0.006 0. 0.006 0.414 0.007 0.406 0.297 0. 0.297 0.281 0. 0.281 0.418 0. 0.417 0.003 0. 0.003
180 0.763 0.004 0.76 0.766 0.004 0.762 0.003 0. 0.003 0.47 0.004 0.466 0.287 0. 0.287 0.296 0. 0.296 0.465 0.003 0.461 0.003 0. 0.003
190 0.839 0. 0.839 0.838 0.007 0.83 0.003 0. 0.003 0.503 0. 0.503 0.33 0. 0.33 0.323 0.003 0.319 0.51 0.003 0.505 0.003 0. 0.003
200 0.966 0. 0.965 0.974 0.002 0.972 0.003 0. 0.003 0.577 0. 0.576 0.384 0. 0.384 0.384 0.002 0.381 0.586 0. 0.585 0.003 0. 0.003
210 1.029 0.003 1.024 1.04 0. 1.04 0.004 0. 0.004 0.623 0. 0.622 0.4 0.003 0.396 0.398 0. 0.398 0.636 0. 0.636 0.004 0. 0.004
220 1.117 0.008 1.108 1.131 0.007 1.123 0.006 0. 0.006 0.677 0.007 0.669 0.431 0. 0.431 0.433 0. 0.433 0.692 0.007 0.684 0.004 0. 0.004
230 1.29 0. 1.29 1.289 0. 1.289 0.004 0. 0.004 0.767 0. 0.767 0.516 0. 0.516 0.515 0. 0.514 0.768 0. 0.768 0.004 0. 0.004
240 1.416 0. 1.416 1.423 0. 1.423 0.004 0. 0.004 0.849 0. 0.849 0.56 0. 0.56 0.559 0. 0.559 0.857 0. 0.857 0.004 0. 0.004
250 1.487 0.007 1.479 1.499 0.019 1.478 0.005 0. 0.005 0.928 0.007 0.921 0.553 0. 0.553 0.559 0.004 0.555 0.933 0.015 0.917 0.005 0. 0.004
260 1.597 0. 1.597 1.62 0. 1.619 0.005 0. 0.005 0.98 0. 0.98 0.61 0. 0.61 0.612 0. 0.612 1. 0. 1. 0.005 0. 0.005
270 1.723 0. 1.723 1.743 0.003 1.738 0.005 0. 0.005 1.06 0. 1.06 0.655 0. 0.655 0.658 0.003 0.654 1.077 0. 1.077 0.005 0. 0.005
280 1.919 0.004 1.915 1.899 0. 1.899 0.007 0. 0.007 1.149 0. 1.149 0.76 0.004 0.756 0.734 0. 0.734 1.157 0. 1.157 0.005 0. 0.005
290 2.11 0. 2.11 2.13 0. 2.129 0.006 0. 0.006 1.292 0. 1.292 0.809 0. 0.809 0.819 0. 0.819 1.302 0. 1.302 0.006 0. 0.006
300 2.202 0.012 2.189 2.205 0.015 2.188 0.006 0. 0.006 1.35 0.008 1.341 0.844 0.003 0.84 0.844 0.008 0.836 1.353 0.007 1.345 0.006 0. 0.006
310 2.334 0.007 2.326 2.357 0.016 2.34 0.009 0. 0.009 1.455 0.007 1.447 0.868 0. 0.868 0.866 0. 0.866 1.481 0.016 1.465 0.006 0. 0.006
320 2.537 0.004 2.532 2.498 0.007 2.49 0.007 0. 0.007 1.549 0.004 1.544 0.979 0. 0.979 0.916 0. 0.916 1.572 0.007 1.564 0.007 0. 0.007
330 2.765 0. 2.765 2.776 0. 2.775 0.007 0. 0.007 1.703 0. 1.703 1.052 0. 1.052 1.069 0. 1.069 1.696 0. 1.696 0.007 0. 0.007
340 2.832 0. 2.832 2.871 0. 2.87 0.007 0. 0.007 1.778 0. 1.777 1.045 0. 1.045 1.055 0. 1.055 1.805 0. 1.805 0.007 0. 0.007
350 3.078 0. 3.077 3.093 0.015 3.076 0.008 0. 0.008 1.96 0. 1.959 1.108 0. 1.108 1.107 0.007 1.099 1.975 0.007 1.967 0.008 0. 0.008
360 3.231 0.003 3.224 3.253 0. 3.252 0.008 0. 0.008 2. 0.003 1.993 1.22 0. 1.22 1.223 0. 1.223 2.018 0. 2.018 0.008 0. 0.008
370 3.475 0. 3.475 3.482 0. 3.481 0.009 0. 0.009 2.203 0. 2.203 1.26 0. 1.26 1.253 0. 1.252 2.218 0. 2.217 0.008 0. 0.008
380 3.596 0.02 3.574 3.632 0. 3.631 0.009 0. 0.009 2.27 0.015 2.253 1.313 0.004 1.309 1.317 0. 1.317 2.303 0. 2.302 0.009 0. 0.009
390 3.925 0. 3.925 3.95 0. 3.949 0.009 0. 0.009 2.438 0. 2.438 1.475 0. 1.475 1.473 0. 1.473 2.465 0. 2.464 0.009 0. 0.009
400 4.075 0.007 4.066 4.095 0.012 4.082 0.009 0. 0.009 2.55 0.007 2.542 1.513 0. 1.513 1.497 0. 1.496 2.587 0.011 2.574 0.009 0. 0.009
