param-n abstract-regression-cubic-real abstract-regression-cubic-sys abstract-regression-cubic-user close-abstract-regression-cubic-real close-abstract-regression-cubic-sys close-abstract-regression-cubic-user fast-rewrite-regression-cubic-real fast-rewrite-regression-cubic-sys fast-rewrite-regression-cubic-user pose-build-and-refine-regression-cubic-real pose-build-and-refine-regression-cubic-sys pose-build-and-refine-regression-cubic-user refine-regression-quadratic-regression-linear-real refine-regression-quadratic-regression-linear-sys refine-regression-quadratic-regression-linear-user
330 0.481 0.003 0.477 0.373 0.003 0.369 0.106 0. 0.106 0.106 0. 0.106 0.005 0. 0.005
340 0.546 0.008 0.538 0.416 0.008 0.408 0.128 0. 0.128 0.128 0. 0.128 0.005 0. 0.005
350 0.555 0. 0.555 0.425 0. 0.425 0.129 0. 0.129 0.129 0. 0.129 0.004 0. 0.004
360 0.611 0.012 0.598 0.461 0.011 0.449 0.148 0. 0.148 0.148 0. 0.148 0.005 0. 0.005
370 0.675 0.004 0.67 0.519 0. 0.519 0.154 0.003 0.15 0.154 0.003 0.15 0.005 0. 0.005
380 0.69 0. 0.69 0.525 0. 0.525 0.163 0. 0.163 0.163 0. 0.163 0.017 0. 0.017
390 0.733 0.015 0.716 0.583 0.015 0.567 0.147 0. 0.147 0.147 0. 0.147 0.005 0. 0.005
400 0.81 0.004 0.805 0.648 0. 0.647 0.161 0.003 0.157 0.161 0.003 0.157 0.006 0. 0.006
500 1.498 0.008 1.49 1.176 0. 1.176 0.32 0.008 0.312 0.32 0.008 0.312 0.006 0. 0.006
600 2.424 0.008 2.415 2.085 0. 2.084 0.337 0.007 0.329 0.337 0.007 0.329 0.007 0. 0.007
700 3.831 0. 3.83 3.313 0. 3.313 0.516 0. 0.516 0.516 0. 0.516 0.009 0. 0.009
800 5.443 0.019 5.422 4.861 0.015 4.844 0.58 0.003 0.576 0.58 0.003 0.576 0.011 0. 0.011
900 7.873 0.02 7.849 7.099 0.008 7.088 0.772 0.012 0.759 0.772 0.012 0.759 0.011 0. 0.011
1000 10.793 0.032 10.758 9.946 0.016 9.927 0.845 0.016 0.829 0.845 0.016 0.829 0.015 0. 0.015
