param 0-univ-count,param 1-n,param kind,param n,abstract-regression-quadratic-regression-cubic real,abstract-regression-quadratic-regression-cubic sys,abstract-regression-quadratic-regression-cubic user,close-abstract-regression-quadratic-regression-cubic real,close-abstract-regression-quadratic-regression-cubic sys,close-abstract-regression-quadratic-regression-cubic user,exact-regression-quadratic-regression-cubic-regression-linear real,exact-regression-quadratic-regression-cubic-regression-linear sys,exact-regression-quadratic-regression-cubic-regression-linear user,pattern-regression-linear real,pattern-regression-linear sys,pattern-regression-linear user
,,pattern,411,,,,,,,,,,0.008,0.,0.008
,,pattern,412,,,,,,,,,,0.009,0.,0.009
,,pattern,413,,,,,,,,,,0.008,0.,0.008
,,pattern,414,,,,,,,,,,0.007,0.,0.007
,,pattern,415,,,,,,,,,,0.009,0.,0.009
,,pattern,416,,,,,,,,,,0.011,0.,0.011
,,pattern,417,,,,,,,,,,0.007,0.,0.007
,,pattern,418,,,,,,,,,,0.008,0.,0.008
,,pattern,419,,,,,,,,,,0.008,0.,0.008
,,pattern,420,,,,,,,,,,0.008,0.,0.008
,,pattern,421,,,,,,,,,,0.009,0.,0.009
,,pattern,422,,,,,,,,,,0.007,0.,0.007
,,pattern,423,,,,,,,,,,0.007,0.,0.007
,,pattern,424,,,,,,,,,,0.007,0.,0.007
,,pattern,425,,,,,,,,,,0.008,0.,0.008
,,pattern,426,,,,,,,,,,0.009,0.,0.009
,,pattern,427,,,,,,,,,,0.008,0.,0.008
,,pattern,428,,,,,,,,,,0.007,0.,0.007
,,pattern,429,,,,,,,,,,0.009,0.,0.009
,,pattern,430,,,,,,,,,,0.008,0.,0.008
,,pattern,431,,,,,,,,,,0.008,0.,0.008
,,pattern,432,,,,,,,,,,0.008,0.,0.008
,,pattern,433,,,,,,,,,,0.008,0.,0.008
,,pattern,434,,,,,,,,,,0.008,0.,0.008
,,pattern,435,,,,,,,,,,0.008,0.,0.008
,,pattern,436,,,,,,,,,,0.008,0.,0.008
,,pattern,437,,,,,,,,,,0.008,0.,0.008
,,pattern,438,,,,,,,,,,0.011,0.,0.006
,,pattern,439,,,,,,,,,,0.008,0.,0.008
,,pattern,440,,,,,,,,,,0.008,0.,0.008
,,pattern,441,,,,,,,,,,0.008,0.,0.008
,,pattern,442,,,,,,,,,,0.009,0.,0.009
,,pattern,443,,,,,,,,,,0.008,0.,0.008
,,pattern,444,,,,,,,,,,0.008,0.,0.008
,,pattern,445,,,,,,,,,,0.008,0.,0.008
,,pattern,446,,,,,,,,,,0.01,0.,0.01
,,pattern,447,,,,,,,,,,0.009,0.,0.009
,,pattern,448,,,,,,,,,,0.009,0.,0.009
,,pattern,449,,,,,,,,,,0.009,0.,0.009
,,pattern,450,,,,,,,,,,0.01,0.,0.01
,,pattern,451,,,,,,,,,,0.009,0.,0.009
,,pattern,452,,,,,,,,,,0.008,0.,0.008
,,pattern,453,,,,,,,,,,0.018,0.,0.018
,,pattern,454,,,,,,,,,,0.01,0.,0.009
,,pattern,455,,,,,,,,,,0.01,0.,0.013
,,pattern,456,,,,,,,,,,0.008,0.,0.008
,,pattern,457,,,,,,,,,,0.008,0.,0.008
,,pattern,458,,,,,,,,,,0.01,0.,0.01
,,pattern,459,,,,,,,,,,0.009,0.,0.009
,,pattern,460,,,,,,,,,,0.008,0.,0.008
,,pattern,461,,,,,,,,,,0.008,0.,0.008
,,pattern,462,,,,,,,,,,0.012,0.,0.012
,,pattern,463,,,,,,,,,,0.009,0.,0.009
,,pattern,464,,,,,,,,,,0.009,0.,0.009
,,pattern,465,,,,,,,,,,0.009,0.,0.009
,,pattern,466,,,,,,,,,,0.009,0.,0.009
,,pattern,467,,,,,,,,,,0.009,0.,0.009
,,pattern,468,,,,,,,,,,0.009,0.,0.009
,,pattern,469,,,,,,,,,,0.009,0.,0.009
,,pattern,470,,,,,,,,,,0.011,0.,0.011
,,pattern,471,,,,,,,,,,0.009,0.,0.009
,,pattern,472,,,,,,,,,,0.009,0.,0.009
,,pattern,473,,,,,,,,,,0.009,0.,0.009
,,pattern,474,,,,,,,,,,0.01,0.,0.01
,,pattern,475,,,,,,,,,,0.009,0.,0.009
,,pattern,476,,,,,,,,,,0.009,0.,0.009
,,pattern,477,,,,,,,,,,0.009,0.001,0.007
,,pattern,478,,,,,,,,,,0.011,0.,0.011
,,pattern,479,,,,,,,,,,0.009,0.,0.009
,,pattern,480,,,,,,,,,,0.008,0.,0.008
,,pattern,481,,,,,,,,,,0.011,0.,0.011
,,pattern,482,,,,,,,,,,0.01,0.,0.01
,,pattern,483,,,,,,,,,,0.008,0.,0.008
,,pattern,484,,,,,,,,,,0.008,0.,0.008
,,pattern,485,,,,,,,,,,0.011,0.,0.011
,,pattern,486,,,,,,,,,,0.009,0.,0.009
,,pattern,487,,,,,,,,,,0.008,0.,0.008
,,pattern,488,,,,,,,,,,0.009,0.,0.009
,,pattern,489,,,,,,,,,,0.01,0.,0.01
,,pattern,490,,,,,,,,,,0.009,0.,0.009
,,pattern,491,,,,,,,,,,0.009,0.,0.009
,,pattern,492,,,,,,,,,,0.009,0.,0.009
,,pattern,493,,,,,,,,,,0.012,0.,0.012
,,pattern,494,,,,,,,,,,0.009,0.,0.009
,,pattern,495,,,,,,,,,,0.009,0.,0.009
,,pattern,496,,,,,,,,,,0.011,0.,0.011
,,pattern,497,,,,,,,,,,0.01,0.,0.01
,,pattern,498,,,,,,,,,,0.01,0.,0.01
,,pattern,499,,,,,,,,,,0.01,0.,0.01
,,pattern,500,,,,,,,,,,0.014,0.,0.014
,,pattern,600,,,,,,,,,,0.061,0.,0.06
,,pattern,800,,,,,,,,,,0.015,0.,0.015
,,pattern,1000,,,,,,,,,,0.02,0.,0.02
,,pattern,1200,,,,,,,,,,0.024,0.,0.024
,,pattern,1400,,,,,,,,,,0.029,0.,0.028
,,pattern,1600,,,,,,,,,,0.034,0.004,0.029
,,pattern,1800,,,,,,,,,,0.045,0.,0.045
,,pattern,2000,,,,,,,,,,0.047,0.,0.047
,,pattern,2200,,,,,,,,,,0.055,0.,0.055
,,pattern,2400,,,,,,,,,,0.048,0.,0.048
,,pattern,2600,,,,,,,,,,0.054,0.,0.054
,,pattern,2800,,,,,,,,,,0.065,0.,0.065
,,pattern,3000,,,,,,,,,,0.066,0.,0.066
,,pattern,3200,,,,,,,,,,0.071,0.,0.071
,,pattern,3400,,,,,,,,,,0.08,0.,0.088
,,pattern,3600,,,,,,,,,,0.091,0.003,0.087
,,pattern,3800,,,,,,,,,,0.09,0.003,0.086
,,pattern,4000,,,,,,,,,,0.104,0.,0.104
,,pattern,4200,,,,,,,,,,0.129,0.003,0.126
,,pattern,4400,,,,,,,,,,0.115,0.,0.115
,,pattern,4600,,,,,,,,,,0.103,0.003,0.099
,,pattern,4800,,,,,,,,,,0.11,0.,0.11
,,pattern,5000,,,,,,,,,,0.129,0.,0.129
,,pattern,5200,,,,,,,,,,0.135,0.,0.135
,,pattern,5400,,,,,,,,,,0.133,0.,0.133
,,pattern,5600,,,,,,,,,,0.129,0.,0.129
,,pattern,5800,,,,,,,,,,0.147,0.,0.147
,,pattern,6000,,,,,,,,,,0.148,0.,0.148
,,pattern,6200,,,,,,,,,,0.132,0.,0.132
,,pattern,6400,,,,,,,,,,0.162,0.,0.162
,,pattern,6600,,,,,,,,,,0.158,0.,0.158
,,pattern,6800,,,,,,,,,,0.174,0.,0.174
,,pattern,7000,,,,,,,,,,0.172,0.,0.172
,,pattern,7200,,,,,,,,,,0.168,0.,0.168
,,pattern,7400,,,,,,,,,,0.16,0.,0.16
,,pattern,7600,,,,,,,,,,0.164,0.,0.164
,,pattern,7800,,,,,,,,,,0.188,0.,0.188
,,pattern,8000,,,,,,,,,,0.176,0.,0.176
,,pattern,8200,,,,,,,,,,0.198,0.,0.198
,,pattern,8400,,,,,,,,,,0.197,0.,0.197
,,pattern,8600,,,,,,,,,,0.225,0.,0.225
,,pattern,8800,,,,,,,,,,0.216,0.,0.216
,,pattern,9000,,,,,,,,,,0.228,0.,0.228
,,pattern,9200,,,,,,,,,,0.235,0.,0.235
,,pattern,9400,,,,,,,,,,0.272,0.,0.272
,,pattern,9600,,,,,,,,,,0.273,0.,0.273
,,pattern,9800,,,,,,,,,,0.27,0.,0.27
,,pattern,10000,,,,,,,,,,0.278,0.,0.281
,,pattern,10200,,,,,,,,,,0.274,0.,0.274
,,pattern,10400,,,,,,,,,,0.273,0.,0.273
,,pattern,10600,,,,,,,,,,0.314,0.,0.314
,,pattern,10800,,,,,,,,,,0.308,0.,0.308
,,pattern,11000,,,,,,,,,,0.333,0.,0.333
,,pattern,11200,,,,,,,,,,0.317,0.,0.317
,,pattern,11400,,,,,,,,,,0.321,0.,0.321
,,pattern,11600,,,,,,,,,,0.344,0.003,0.34
,,pattern,11800,,,,,,,,,,0.352,0.,0.351
,,pattern,12000,,,,,,,,,,0.347,0.,0.347
,,pattern,12200,,,,,,,,,,0.343,0.,0.343
,,pattern,12400,,,,,,,,,,0.353,0.,0.353
,,pattern,12600,,,,,,,,,,0.349,0.,0.349
,,pattern,12800,,,,,,,,,,0.387,0.,0.385
,,pattern,13000,,,,,,,,,,0.366,0.,0.366
,,pattern,13200,,,,,,,,,,0.383,0.,0.383
,,pattern,13400,,,,,,,,,,0.37,0.,0.37
,,pattern,13600,,,,,,,,,,0.394,0.,0.394
,,pattern,13800,,,,,,,,,,0.411,0.,0.411
,,pattern,14000,,,,,,,,,,0.382,0.,0.382
,,pattern,14200,,,,,,,,,,0.395,0.,0.395
,,pattern,14400,,,,,,,,,,0.382,0.,0.384
,,pattern,14600,,,,,,,,,,0.357,0.,0.357
,,pattern,14800,,,,,,,,,,0.37,0.,0.37
,,pattern,15000,,,,,,,,,,0.403,0.,0.403
,,pattern,15200,,,,,,,,,,0.383,0.,0.383
,,pattern,15400,,,,,,,,,,0.372,0.,0.372
,,pattern,15600,,,,,,,,,,0.398,0.,0.398
,,pattern,15800,,,,,,,,,,0.415,0.003,0.412
,,pattern,16000,,,,,,,,,,0.401,0.,0.401
,,pattern,16200,,,,,,,,,,0.431,0.,0.431
,,pattern,16400,,,,,,,,,,0.438,0.,0.438
,,pattern,16600,,,,,,,,,,0.434,0.,0.434
,,pattern,16800,,,,,,,,,,0.444,0.,0.444
,,pattern,17000,,,,,,,,,,0.462,0.,0.462
,,pattern,17200,,,,,,,,,,0.47,0.,0.47
,,pattern,17400,,,,,,,,,,0.497,0.,0.497
,,pattern,17600,,,,,,,,,,0.543,0.,0.539
,,pattern,17800,,,,,,,,,,0.526,0.,0.525
,,pattern,18000,,,,,,,,,,0.574,0.,0.574
,,pattern,18200,,,,,,,,,,0.575,0.,0.575
,,pattern,18400,,,,,,,,,,0.592,0.,0.592
,,pattern,18600,,,,,,,,,,0.595,0.003,0.591
,,pattern,18800,,,,,,,,,,0.632,0.,0.63
,,pattern,19000,,,,,,,,,,0.636,0.,0.636
,,pattern,19200,,,,,,,,,,0.663,0.,0.663
,,pattern,19400,,,,,,,,,,0.625,0.,0.625
,,pattern,19600,,,,,,,,,,0.642,0.,0.642
,,pattern,19800,,,,,,,,,,0.627,0.,0.627
,,pattern,20000,,,,,,,,,,0.625,0.,0.632
