param-n abstract+rewrite-strat-bottomup-real abstract+rewrite-strat-bottomup-sys abstract+rewrite-strat-bottomup-user abstract+rewrite-strat-topdown-real abstract+rewrite-strat-topdown-sys abstract+rewrite-strat-topdown-user close-abstract+rewrite-strat-bottomup-real close-abstract+rewrite-strat-bottomup-sys close-abstract+rewrite-strat-bottomup-user close-abstract+rewrite-strat-topdown-real close-abstract+rewrite-strat-topdown-sys close-abstract+rewrite-strat-topdown-user rewrite-strat-bottomup-real rewrite-strat-bottomup-sys rewrite-strat-bottomup-user rewrite-strat-bottomup-noop-real rewrite-strat-bottomup-noop-sys rewrite-strat-bottomup-noop-user rewrite-strat-topdown-real rewrite-strat-topdown-sys rewrite-strat-topdown-user rewrite-strat-topdown-noop-real rewrite-strat-topdown-noop-sys rewrite-strat-topdown-noop-user
43 0.066 0. 0.066 0.04 0. 0.04 0.023 0. 0.023 0.016 0. 0.016 0.042 0. 0.042 0. 0. 0. 0.022 0. 0.022 0. 0. 0.
44 0.07 0. 0.07 0.044 0. 0.044 0.025 0. 0.025 0.02 0. 0.02 0.044 0. 0.044 0. 0. 0. 0.023 0. 0.023 0. 0. 0.
45 0.07 0. 0.07 0.048 0. 0.047 0.025 0. 0.025 0.021 0. 0.021 0.044 0. 0.044 0. 0. 0. 0.025 0. 0.024 0. 0. 0.
46 0.075 0. 0.075 0.047 0. 0.047 0.027 0. 0.027 0.02 0. 0.02 0.046 0. 0.046 0. 0. 0. 0.025 0. 0.025 0. 0. 0.
47 0.076 0. 0.076 0.049 0. 0.049 0.026 0. 0.026 0.02 0. 0.02 0.049 0. 0.049 0. 0. 0. 0.028 0. 0.028 0. 0. 0.
48 0.086 0.007 0.078 0.053 0. 0.053 0.028 0. 0.028 0.022 0. 0.022 0.056 0.007 0.049 0. 0. 0. 0.029 0. 0.029 0. 0. 0.
49 0.085 0. 0.085 0.056 0. 0.056 0.031 0. 0.033 0.023 0. 0.023 0.052 0. 0.05 0. 0. 0. 0.03 0. 0.03 0. 0. 0.
50 0.163 0.023 0.138 0.125 0.044 0.081 0.035 0. 0.035 0.025 0. 0.025 0.126 0.023 0.102 0. 0. 0. 0.099 0.043 0.055 0. 0. 0.
51 0.095 0. 0.095 0.063 0. 0.063 0.031 0. 0.031 0.026 0. 0.026 0.062 0. 0.062 0. 0. 0. 0.035 0. 0.035 0. 0. 0.
52 0.094 0. 0.094 0.056 0. 0.056 0.032 0. 0.032 0.025 0. 0.025 0.06 0. 0.06 0. 0. 0. 0.029 0. 0.029 0. 0. 0.
53 0.095 0. 0.095 0.059 0. 0.058 0.034 0. 0.034 0.027 0. 0.027 0.059 0. 0.059 0. 0. 0. 0.03 0. 0.03 0. 0. 0.
54 0.099 0. 0.098 0.059 0. 0.059 0.034 0. 0.034 0.026 0. 0.026 0.063 0. 0.063 0. 0. 0. 0.031 0. 0.031 0. 0. 0.
55 0.109 0.003 0.105 0.061 0. 0.061 0.037 0. 0.036 0.027 0. 0.027 0.071 0.003 0.067 0. 0. 0. 0.032 0. 0.032 0. 0. 0.
56 0.109 0. 0.109 0.063 0. 0.063 0.038 0. 0.038 0.029 0. 0.029 0.069 0. 0.069 0. 0. 0. 0.032 0. 0.032 0. 0. 0.
57 0.106 0. 0.106 0.068 0. 0.068 0.037 0. 0.037 0.031 0. 0.031 0.068 0. 0.068 0. 0. 0. 0.033 0. 0.033 0.002 0. 0.002
58 0.108 0. 0.108 0.069 0. 0.069 0.038 0. 0.038 0.03 0. 0.03 0.068 0. 0.068 0. 0. 0. 0.038 0. 0.038 0. 0. 0.
59 0.112 0. 0.112 0.077 0. 0.077 0.042 0. 0.042 0.035 0. 0.035 0.068 0. 0.068 0. 0. 0. 0.041 0. 0.041 0. 0. 0.
60 0.117 0. 0.117 0.086 0. 0.086 0.044 0. 0.044 0.038 0. 0.038 0.071 0. 0.071 0. 0. 0. 0.046 0. 0.046 0. 0. 0.
61 0.127 0. 0.127 0.092 0. 0.092 0.046 0. 0.046 0.041 0. 0.041 0.079 0. 0.079 0. 0. 0. 0.049 0. 0.049 0. 0. 0.
62 0.126 0. 0.126 0.091 0. 0.091 0.048 0. 0.048 0.04 0. 0.04 0.077 0. 0.077 0. 0. 0. 0.048 0. 0.048 0. 0. 0.
63 0.137 0.003 0.133 0.091 0. 0.091 0.052 0. 0.052 0.038 0. 0.038 0.083 0.003 0.08 0. 0. 0. 0.051 0. 0.051 0. 0. 0.
64 0.137 0. 0.137 0.088 0. 0.088 0.053 0. 0.053 0.04 0. 0.04 0.082 0. 0.082 0. 0. 0. 0.046 0. 0.046 0.001 0. 0.001
65 0.133 0. 0.133 0.089 0. 0.089 0.051 0. 0.051 0.039 0. 0.038 0.08 0. 0.08 0. 0. 0. 0.049 0. 0.049 0. 0. 0.
66 0.136 0. 0.136 0.091 0.003 0.087 0.051 0. 0.051 0.041 0. 0.041 0.083 0. 0.083 0. 0. 0. 0.048 0.003 0.044 0. 0. 0.
67 0.141 0. 0.141 0.093 0. 0.093 0.052 0. 0.052 0.041 0. 0.041 0.088 0. 0.088 0. 0. 0. 0.05 0. 0.05 0.001 0. 0.001
68 0.151 0. 0.151 0.094 0. 0.094 0.054 0. 0.054 0.041 0. 0.041 0.095 0. 0.095 0. 0. 0. 0.051 0. 0.051 0. 0. 0.
69 0.152 0. 0.152 0.095 0. 0.095 0.053 0. 0.053 0.041 0. 0.041 0.095 0. 0.095 0.002 0. 0.002 0.052 0. 0.052 0. 0. 0.
70 0.161 0. 0.161 0.1 0. 0.1 0.059 0. 0.059 0.044 0. 0.044 0.1 0. 0.1 0. 0. 0. 0.054 0. 0.054 0. 0. 0.
71 0.166 0.002 0.163 0.1 0. 0.1 0.067 0. 0.067 0.044 0. 0.044 0.097 0.002 0.095 0. 0. 0. 0.054 0. 0.054 0. 0. 0.
72 0.161 0.003 0.157 0.109 0. 0.109 0.059 0. 0.059 0.049 0. 0.049 0.099 0.003 0.096 0. 0. 0. 0.059 0. 0.059 0. 0. 0.
73 0.18 0. 0.18 0.11 0. 0.11 0.068 0. 0.068 0.049 0. 0.049 0.11 0. 0.11 0. 0. 0. 0.059 0. 0.059 0. 0. 0.
74 0.178 0. 0.178 0.117 0. 0.117 0.069 0. 0.069 0.052 0. 0.052 0.106 0. 0.106 0. 0. 0. 0.063 0. 0.063 0. 0. 0.
75 0.181 0. 0.181 0.118 0. 0.118 0.072 0. 0.072 0.052 0. 0.052 0.107 0. 0.107 0. 0. 0. 0.064 0. 0.064 0. 0. 0.
76 0.188 0. 0.182 0.12 0. 0.12 0.066 0. 0.06 0.053 0. 0.053 0.12 0. 0.12 0. 0. 0. 0.065 0. 0.065 0. 0. 0.
77 0.185 0. 0.192 0.123 0. 0.123 0.066 0. 0.066 0.053 0. 0.053 0.117 0. 0.125 0. 0. 0. 0.068 0. 0.068 0. 0. 0.
78 0.187 0. 0.187 0.124 0. 0.124 0.066 0. 0.066 0.058 0. 0.058 0.119 0. 0.119 0. 0. 0. 0.064 0. 0.064 0. 0. 0.
79 0.206 0. 0.206 0.136 0. 0.136 0.071 0. 0.071 0.058 0. 0.058 0.133 0. 0.133 0. 0. 0. 0.075 0. 0.075 0.001 0. 0.001
80 0.199 0. 0.199 0.13 0. 0.13 0.07 0. 0.07 0.058 0. 0.058 0.126 0. 0.126 0. 0. 0. 0.069 0. 0.069 0. 0. 0.
81 0.211 0. 0.21 0.134 0. 0.134 0.075 0. 0.075 0.059 0. 0.059 0.131 0. 0.131 0. 0. 0. 0.072 0. 0.072 0. 0. 0.
82 0.206 0. 0.206 0.146 0. 0.146 0.075 0. 0.075 0.067 0. 0.067 0.129 0. 0.129 0. 0. 0. 0.076 0. 0.076 0.001 0. 0.001
83 0.213 0. 0.213 0.143 0. 0.143 0.075 0. 0.075 0.063 0. 0.063 0.136 0. 0.136 0. 0. 0. 0.078 0. 0.078 0. 0. 0.
84 0.238 0. 0.237 0.146 0.003 0.143 0.085 0. 0.085 0.065 0.003 0.061 0.15 0. 0.15 0.001 0. 0.001 0.079 0. 0.079 0. 0. 0.
85 0.223 0.003 0.219 0.153 0. 0.153 0.08 0.003 0.076 0.064 0. 0.064 0.141 0. 0.141 0. 0. 0. 0.085 0. 0.085 0.001 0. 0.001
86 0.23 0. 0.23 0.166 0. 0.165 0.085 0. 0.085 0.074 0. 0.074 0.143 0. 0.143 0. 0. 0. 0.089 0. 0.089 0.001 0. 0.001
87 0.241 0. 0.241 0.158 0. 0.158 0.086 0. 0.086 0.071 0. 0.071 0.152 0. 0.152 0. 0. 0. 0.084 0. 0.084 0.001 0. 0.001
88 0.25 0. 0.25 0.161 0. 0.161 0.094 0. 0.094 0.071 0. 0.071 0.154 0. 0.154 0. 0. 0. 0.087 0. 0.087 0.001 0. 0.001
89 0.256 0. 0.256 0.167 0. 0.167 0.096 0. 0.096 0.076 0. 0.076 0.158 0. 0.158 0. 0. 0. 0.088 0. 0.088 0.001 0. 0.001
90 0.26 0. 0.26 0.179 0. 0.179 0.093 0. 0.093 0.081 0. 0.081 0.165 0. 0.165 0. 0. 0. 0.095 0. 0.095 0.001 0. 0.001
91 0.262 0. 0.262 0.169 0. 0.169 0.097 0. 0.097 0.073 0. 0.073 0.163 0. 0.163 0.001 0. 0.001 0.093 0. 0.093 0.001 0. 0.001
92 0.274 0. 0.273 0.167 0. 0.167 0.104 0. 0.104 0.077 0. 0.077 0.162 0. 0.162 0.001 0. 0.001 0.087 0. 0.087 0.001 0. 0.001
93 0.265 0. 0.265 0.166 0. 0.166 0.106 0. 0.106 0.07 0. 0.07 0.157 0. 0.157 0.001 0. 0.001 0.093 0. 0.093 0.001 0. 0.001
94 0.282 0. 0.282 0.158 0. 0.158 0.109 0. 0.109 0.07 0. 0.07 0.171 0. 0.171 0.001 0. 0.001 0.085 0. 0.085 0.001 0. 0.001
95 0.284 0. 0.284 0.172 0. 0.172 0.112 0. 0.112 0.072 0. 0.072 0.169 0. 0.169 0.001 0. 0.001 0.097 0. 0.097 0.001 0. 0.001
96 0.306 0.003 0.302 0.171 0. 0.171 0.12 0. 0.12 0.077 0. 0.077 0.183 0.003 0.179 0.001 0. 0.001 0.091 0. 0.091 0.001 0. 0.001
97 0.302 0. 0.302 0.176 0. 0.176 0.115 0. 0.115 0.078 0. 0.077 0.185 0. 0.185 0.001 0. 0.001 0.096 0. 0.096 0.001 0. 0.001
98 0.306 0. 0.306 0.184 0. 0.184 0.111 0. 0.111 0.081 0. 0.081 0.192 0. 0.192 0.001 0. 0.001 0.1 0. 0.1 0.001 0. 0.001
99 0.31 0. 0.309 0.188 0.003 0.184 0.115 0. 0.115 0.081 0. 0.081 0.192 0. 0.192 0.001 0. 0.001 0.105 0.003 0.101 0.001 0. 0.001
100 0.38 0.008 0.371 0.228 0. 0.228 0.145 0.004 0.14 0.104 0. 0.104 0.232 0.004 0.228 0.001 0. 0.001 0.121 0. 0.121 0.001 0. 0.001
110 0.37 0. 0.37 0.22 0. 0.22 0.141 0. 0.141 0.104 0. 0.104 0.226 0. 0.226 0.001 0. 0.001 0.114 0. 0.114 0.001 0. 0.001
120 0.44 0. 0.44 0.26 0. 0.26 0.171 0. 0.171 0.118 0. 0.118 0.267 0. 0.266 0.001 0. 0.001 0.138 0. 0.138 0.001 0. 0.001
130 0.511 0. 0.511 0.317 0. 0.317 0.19 0. 0.189 0.143 0. 0.143 0.318 0. 0.318 0.001 0. 0.001 0.171 0. 0.171 0.001 0. 0.001
140 0.585 0. 0.585 0.367 0. 0.367 0.224 0. 0.224 0.17 0. 0.17 0.358 0. 0.358 0.001 0. 0.001 0.193 0. 0.193 0.002 0. 0.002
150 0.883 0.001 0.879 0.562 0.004 0.557 0.332 0. 0.332 0.27 0.004 0.266 0.547 0.001 0.544 0.002 0. 0.001 0.287 0. 0.287 0.003 0. 0.003
160 0.803 0. 0.803 0.489 0. 0.488 0.308 0. 0.308 0.232 0. 0.232 0.491 0. 0.491 0.002 0. 0.002 0.252 0. 0.252 0.002 0. 0.002
170 0.891 0. 0.89 0.568 0. 0.568 0.351 0. 0.351 0.259 0. 0.259 0.535 0. 0.535 0.002 0. 0.002 0.304 0. 0.304 0.002 0. 0.002
180 0.989 0.008 0.981 0.648 0. 0.647 0.359 0.008 0.351 0.282 0. 0.282 0.626 0. 0.626 0.002 0. 0.002 0.362 0. 0.362 0.002 0. 0.002
190 1.058 0.008 1.05 0.667 0.007 0.659 0.392 0. 0.392 0.288 0. 0.288 0.662 0.008 0.653 0.002 0. 0.002 0.374 0.007 0.366 0.003 0. 0.003
200 1.468 0.011 1.456 1.025 0.003 1.021 0.523 0.003 0.519 0.402 0.003 0.398 0.939 0.007 0.932 0.004 0. 0.004 0.617 0. 0.617 0.004 0. 0.004
210 1.306 0. 1.306 0.842 0.004 0.837 0.476 0. 0.476 0.366 0.004 0.367 0.825 0. 0.825 0.003 0. 0.003 0.47 0. 0.469 0.003 0. 0.
220 1.484 0. 1.483 0.879 0.003 0.875 0.548 0. 0.548 0.382 0. 0.382 0.922 0. 0.922 0.01 0. 0.01 0.491 0.003 0.487 0.003 0. 0.003
230 1.586 0. 1.586 1.029 0.003 1.025 0.569 0. 0.569 0.466 0. 0.466 1.011 0. 1.011 0.003 0. 0.003 0.557 0.003 0.553 0.004 0. 0.004
240 1.834 0.011 1.819 1.107 0. 1.107 0.648 0. 0.648 0.488 0. 0.488 1.172 0.011 1.159 0.003 0. 0.003 0.613 0. 0.613 0.004 0. 0.004
250 2.368 0.027 2.339 1.441 0.019 1.421 0.865 0.003 0.861 0.599 0.007 0.591 1.496 0.024 1.472 0.005 0. 0.005 0.834 0.011 0.823 0.006 0. 0.006
260 2.035 0. 2.035 1.244 0. 1.243 0.7 0. 0.7 0.538 0. 0.538 1.329 0. 1.328 0.004 0. 0.004 0.692 0. 0.692 0.005 0. 0.005
270 2.142 0. 2.14 1.347 0. 1.346 0.762 0. 0.762 0.561 0. 0.561 1.373 0. 1.372 0.004 0. 0.004 0.778 0. 0.778 0.005 0. 0.005
280 2.384 0. 2.384 1.54 0. 1.54 0.878 0. 0.877 0.663 0. 0.663 1.5 0. 1.5 0.004 0. 0.004 0.87 0. 0.87 0.005 0. 0.005
290 2.508 0.007 2.5 1.613 0.012 1.6 0.894 0.003 0.89 0.65 0.004 0.646 1.607 0.003 1.603 0.005 0. 0.005 0.955 0.007 0.946 0.005 0. 0.005
300 3.413 0.028 3.385 2.201 0.031 2.169 1.174 0.003 1.17 0.845 0.003 0.841 2.229 0.024 2.204 0.008 0. 0.008 1.346 0.027 1.318 0.007 0. 0.007
310 3.011 0.008 3.002 1.839 0.02 1.818 1.077 0. 1.076 0.748 0.003 0.744 1.92 0.007 1.911 0.012 0. 0.012 1.078 0.016 1.061 0.01 0. 0.01
320 3.096 0.011 3.083 2.152 0. 2.151 1.07 0.004 1.066 0.849 0. 0.849 2.014 0.007 2.006 0.008 0. 0.008 1.289 0. 1.288 0.012 0. 0.012
330 3.343 0. 3.342 2.123 0. 2.123 1.194 0. 1.194 0.835 0. 0.835 2.139 0. 2.139 0.006 0. 0.006 1.279 0. 1.278 0.007 0. 0.007
340 3.581 0. 3.58 2.302 0.003 2.298 1.224 0. 1.224 0.951 0. 0.951 2.348 0. 2.347 0.006 0. 0.006 1.341 0.003 1.337 0.007 0. 0.007
350 4.746 0.016 4.729 3.242 0.012 3.227 1.594 0. 1.593 1.214 0.003 1.209 3.142 0.016 3.125 0.008 0. 0.008 2.016 0.008 2.005 0.01 0. 0.01
360 4.081 0. 4.08 2.511 0.02 2.49 1.431 0. 1.431 0.996 0. 0.995 2.639 0. 2.639 0.007 0. 0.007 1.504 0.02 1.484 0.008 0. 0.008
370 4.52 0.031 4.487 2.587 0. 2.586 1.676 0.003 1.672 1.037 0. 1.037 2.834 0.027 2.805 0.007 0. 0.007 1.536 0. 1.536 0.011 0. 0.011
380 4.486 0. 4.485 2.854 0. 2.853 1.493 0. 1.493 1.11 0. 1.11 2.979 0. 2.979 0.01 0. 0.01 1.731 0. 1.731 0.01 0. 0.01
390 4.722 0.007 4.713 3.101 0.004 3.097 1.561 0.007 1.553 1.229 0. 1.228 3.149 0. 3.148 0.009 0. 0.009 1.86 0. 1.86 0.01 0.003 0.006
400 6.432 0.019 6.411 3.794 0. 3.79 2.083 0. 2.083 1.471 0. 1.468 4.336 0.019 4.315 0.011 0. 0.011 2.308 0. 2.308 0.012 0. 0.012
