param-n pattern-regression-linear-real pattern-regression-linear-sys pattern-regression-linear-user
218 0.004 0. 0.004
219 0.005 0. 0.005
220 0.004 0. 0.004
221 0.005 0. 0.005
222 0.004 0. 0.004
223 0.004 0. 0.004
224 0.005 0. 0.005
225 0.005 0. 0.005
226 0.004 0. 0.004
227 0.004 0. 0.004
228 0.005 0. 0.005
229 0.004 0. 0.004
230 0.004 0. 0.004
231 0.004 0. 0.004
232 0.004 0. 0.004
233 0.006 0. 0.006
234 0.005 0. 0.005
235 0.005 0. 0.
236 0.005 0. 0.011
237 0.005 0. 0.005
238 0.005 0. 0.005
239 0.005 0. 0.005
240 0.005 0. 0.005
241 0.005 0. 0.005
242 0.005 0. 0.005
243 0.005 0. 0.005
244 0.005 0. 0.005
245 0.005 0. 0.005
246 0.005 0. 0.005
247 0.005 0. 0.005
248 0.006 0. 0.006
249 0.005 0. 0.005
250 0.005 0. 0.005
251 0.005 0. 0.005
252 0.006 0. 0.006
253 0.005 0. 0.005
254 0.005 0. 0.005
255 0.006 0. 0.006
256 0.005 0. 0.005
257 0.005 0. 0.005
258 0.005 0. 0.005
259 0.006 0. 0.006
260 0.006 0. 0.006
261 0.006 0. 0.006
262 0.007 0. 0.007
263 0.005 0. 0.005
264 0.005 0. 0.005
265 0.005 0. 0.005
266 0.005 0. 0.005
267 0.005 0. 0.005
268 0.006 0. 0.006
269 0.005 0. 0.005
270 0.005 0. 0.005
271 0.005 0. 0.005
272 0.006 0. 0.006
273 0.008 0. 0.008
274 0.005 0. 0.005
275 0.006 0. 0.006
276 0.005 0. 0.005
277 0.005 0. 0.005
278 0.005 0. 0.005
279 0.005 0. 0.005
280 0.006 0. 0.006
281 0.006 0. 0.006
282 0.006 0. 0.006
283 0.005 0. 0.005
284 0.007 0. 0.007
285 0.006 0.002 0.003
286 0.006 0. 0.006
287 0.006 0. 0.006
288 0.007 0. 0.007
289 0.006 0. 0.006
290 0.006 0. 0.006
291 0.006 0. 0.006
292 0.006 0. 0.006
293 0.006 0. 0.006
294 0.007 0. 0.007
295 0.006 0. 0.006
296 0.006 0. 0.006
297 0.005 0. 0.005
298 0.005 0. 0.005
299 0.005 0. 0.005
300 0.008 0. 0.008
301 0.005 0. 0.005
302 0.005 0. 0.005
303 0.006 0. 0.006
304 0.005 0. 0.005
305 0.006 0. 0.006
306 0.007 0. 0.007
307 0.006 0. 0.006
308 0.006 0. 0.006
309 0.006 0. 0.006
310 0.006 0. 0.
311 0.006 0. 0.006
312 0.009 0. 0.009
313 0.006 0. 0.006
314 0.006 0. 0.006
315 0.006 0. 0.006
316 0.006 0. 0.006
317 0.006 0. 0.006
318 0.006 0. 0.006
319 0.007 0. 0.007
320 0.007 0. 0.007
321 0.006 0. 0.006
322 0.006 0. 0.006
323 0.008 0. 0.008
324 0.007 0. 0.007
325 0.006 0. 0.006
326 0.008 0. 0.008
327 0.009 0. 0.009
328 0.007 0. 0.007
329 0.009 0. 0.009
330 0.006 0. 0.006
331 0.006 0. 0.006
332 0.007 0. 0.007
333 0.007 0. 0.007
334 0.009 0. 0.009
335 0.006 0. 0.006
336 0.007 0. 0.005
337 0.008 0. 0.01
338 0.008 0. 0.008
339 0.007 0. 0.007
340 0.006 0. 0.006
341 0.008 0. 0.008
342 0.007 0. 0.007
343 0.007 0. 0.007
344 0.007 0. 0.007
345 0.007 0. 0.007
346 0.008 0. 0.008
347 0.008 0. 0.008
348 0.007 0. 0.007
349 0.007 0. 0.007
350 0.007 0. 0.007
351 0.009 0. 0.008
352 0.007 0. 0.007
353 0.007 0. 0.007
354 0.007 0. 0.007
355 0.009 0. 0.009
356 0.007 0. 0.007
357 0.008 0. 0.008
358 0.008 0. 0.008
359 0.007 0. 0.007
360 0.009 0. 0.009
361 0.008 0. 0.008
362 0.01 0. 0.01
363 0.01 0. 0.01
364 0.015 0. 0.015
365 0.012 0. 0.012
366 0.007 0. 0.007
367 0.007 0. 0.007
368 0.007 0. 0.007
369 0.007 0. 0.007
370 0.009 0. 0.009
371 0.008 0. 0.008
372 0.008 0. 0.008
373 0.007 0. 0.007
374 0.009 0. 0.009
375 0.008 0. 0.008
376 0.009 0. 0.009
377 0.008 0. 0.008
378 0.007 0. 0.007
379 0.009 0. 0.009
380 0.008 0. 0.008
381 0.008 0. 0.008
382 0.008 0. 0.008
383 0.008 0. 0.008
384 0.009 0. 0.009
385 0.014 0. 0.014
386 0.008 0. 0.008
387 0.008 0. 0.008
388 0.008 0. 0.008
389 0.013 0. 0.013
390 0.008 0. 0.008
391 0.008 0. 0.008
392 0.009 0. 0.009
393 0.009 0. 0.009
394 0.01 0. 0.01
395 0.008 0. 0.008
396 0.007 0. 0.007
397 0.008 0. 0.008
398 0.009 0.003 0.005
399 0.009 0. 0.009
400 0.008 0. 0.008
401 0.008 0. 0.008
402 0.008 0. 0.008
403 0.012 0. 0.012
404 0.009 0. 0.009
405 0.008 0. 0.008
406 0.008 0. 0.008
407 0.011 0. 0.011
408 0.009 0. 0.009
409 0.008 0. 0.008
410 0.009 0. 0.009
411 0.008 0. 0.008
412 0.012 0. 0.012
413 0.008 0. 0.008
414 0.008 0. 0.008
415 0.007 0. 0.007
416 0.01 0. 0.01
417 0.008 0. 0.008
418 0.008 0. 0.008
419 0.008 0. 0.008
420 0.008 0. 0.008
421 0.01 0. 0.01
422 0.009 0. 0.009
423 0.009 0. 0.009
424 0.009 0. 0.009
425 0.01 0. 0.01
426 0.008 0. 0.008
427 0.008 0. 0.008
428 0.008 0. 0.008
429 0.01 0. 0.01
430 0.009 0. 0.009
