param-n abstract-regression-quadratic-real abstract-regression-quadratic-sys abstract-regression-quadratic-user close-abstract-regression-quadratic-real close-abstract-regression-quadratic-sys close-abstract-regression-quadratic-user ssr-rewrite!-regression-quadratic-real ssr-rewrite!-regression-quadratic-sys ssr-rewrite!-regression-quadratic-user ssr-rewrite?-noop-regression-linear-real ssr-rewrite?-noop-regression-linear-sys ssr-rewrite?-noop-regression-linear-user
68 0.153 0.002 0.15 0.091 0. 0.091 0.061 0.002 0.058 0. 0. 0.
69 0.164 0. 0.164 0.098 0. 0.098 0.065 0. 0.065 0. 0. 0.
70 0.171 0. 0.171 0.102 0. 0.102 0.067 0. 0.067 0. 0. 0.
71 0.164 0.003 0.16 0.094 0. 0.094 0.069 0.003 0.065 0. 0. 0.
72 0.177 0. 0.177 0.109 0. 0.109 0.067 0. 0.067 0. 0. 0.
73 0.182 0. 0.182 0.109 0. 0.109 0.072 0. 0.072 0. 0. 0.
74 0.197 0. 0.197 0.124 0. 0.124 0.072 0. 0.072 0. 0. 0.
75 0.207 0.003 0.203 0.124 0.003 0.12 0.081 0. 0.081 0. 0. 0.
76 0.188 0. 0.188 0.105 0. 0.105 0.081 0. 0.081 0. 0. 0.
77 0.192 0. 0.192 0.116 0. 0.116 0.075 0. 0.075 0. 0. 0.
78 0.201 0. 0.201 0.119 0. 0.118 0.081 0. 0.081 0. 0. 0.
79 0.2 0. 0.2 0.115 0. 0.115 0.084 0. 0.084 0. 0. 0.
80 0.212 0. 0.212 0.122 0. 0.122 0.088 0. 0.088 0. 0. 0.
81 0.203 0. 0.203 0.116 0. 0.116 0.085 0. 0.085 0. 0. 0.
82 0.217 0.003 0.213 0.133 0. 0.133 0.083 0.003 0.079 0. 0. 0.
83 0.228 0. 0.227 0.133 0. 0.133 0.093 0. 0.093 0. 0. 0.
84 0.225 0. 0.225 0.131 0. 0.131 0.092 0. 0.092 0. 0. 0.
85 0.233 0. 0.233 0.134 0. 0.134 0.097 0. 0.097 0. 0. 0.
86 0.244 0. 0.243 0.145 0. 0.145 0.097 0. 0.097 0. 0. 0.
87 0.244 0.003 0.24 0.135 0. 0.135 0.107 0.003 0.103 0. 0. 0.
88 0.239 0. 0.239 0.144 0. 0.144 0.093 0. 0.093 0. 0. 0.
89 0.262 0.003 0.258 0.154 0.003 0.15 0.106 0. 0.106 0. 0. 0.
90 0.26 0. 0.26 0.147 0. 0.147 0.109 0. 0.109 0. 0. 0.
91 0.287 0.003 0.283 0.172 0.003 0.168 0.113 0. 0.113 0. 0. 0.
92 0.288 0. 0.288 0.177 0. 0.177 0.11 0. 0.11 0. 0. 0.
93 0.288 0. 0.288 0.173 0. 0.172 0.114 0. 0.114 0. 0. 0.
94 0.292 0.006 0.285 0.175 0. 0.174 0.115 0.005 0.11 0. 0. 0.
95 0.306 0. 0.306 0.185 0. 0.185 0.12 0. 0.12 0. 0. 0.
96 0.308 0.003 0.304 0.176 0. 0.176 0.13 0.003 0.126 0. 0. 0.
97 0.307 0. 0.307 0.181 0. 0.181 0.125 0. 0.125 0. 0. 0.
98 0.307 0. 0.307 0.182 0. 0.182 0.123 0. 0.123 0. 0. 0.
99 0.3 0. 0.3 0.177 0. 0.177 0.121 0. 0.121 0. 0. 0.
100 0.298 0. 0.297 0.191 0. 0.191 0.106 0. 0.106 0. 0. 0.
110 0.376 0.004 0.372 0.22 0.003 0.215 0.155 0. 0.155 0. 0. 0.
120 0.46 0.003 0.456 0.276 0.003 0.271 0.183 0. 0.182 0. 0. 0.
130 0.526 0. 0.526 0.312 0. 0.312 0.212 0. 0.212 0. 0. 0.
140 0.589 0. 0.589 0.344 0. 0.344 0.243 0. 0.243 0. 0. 0.
150 0.641 0.004 0.637 0.378 0.004 0.373 0.262 0. 0.262 0. 0. 0.
160 0.769 0. 0.769 0.45 0. 0.449 0.318 0. 0.318 0. 0. 0.
170 0.928 0. 0.928 0.563 0. 0.563 0.362 0. 0.362 0. 0. 0.
180 1.076 0. 1.076 0.638 0. 0.637 0.436 0. 0.436 0. 0. 0.
190 1.145 0. 1.144 0.693 0. 0.693 0.449 0. 0.449 0. 0. 0.
200 1.126 0. 1.126 0.675 0. 0.675 0.45 0. 0.449 0. 0. 0.
210 1.271 0. 1.271 0.748 0. 0.748 0.521 0. 0.521 0. 0. 0.
220 1.497 0. 1.497 0.909 0. 0.909 0.586 0. 0.586 0. 0. 0.
230 1.71 0. 1.71 1.039 0. 1.039 0.669 0. 0.668 0. 0. 0.
240 1.804 0.015 1.788 1.066 0.003 1.062 0.736 0.011 0.724 0. 0. 0.
250 1.691 0.015 1.675 1.022 0.003 1.018 0.667 0.011 0.655 0. 0. 0.
260 2.093 0. 2.093 1.281 0. 1.281 0.809 0. 0.809 0. 0. 0.
270 2.292 0.004 2.288 1.376 0.004 1.371 0.913 0. 0.913 0. 0. 0.
280 2.333 0. 2.332 1.374 0. 1.373 0.957 0. 0.957 0. 0. 0.
290 2.506 0. 2.506 1.542 0. 1.542 0.961 0. 0.961 0. 0. 0.
300 2.458 0.016 2.441 1.448 0.008 1.439 1.009 0.008 1.001 0. 0. 0.
310 2.766 0.016 2.75 1.616 0.008 1.607 1.148 0.007 1.14 0. 0. 0.
320 2.96 0. 2.959 1.822 0. 1.822 1.135 0. 1.135 0. 0. 0.
330 3.126 0. 3.126 1.81 0. 1.81 1.314 0. 1.313 0. 0. 0.
340 3.499 0. 3.498 2.192 0. 2.191 1.305 0. 1.304 0. 0. 0.
350 3.369 0.008 3.36 2.044 0. 2.043 1.323 0.008 1.315 0. 0. 0.
360 3.641 0.011 3.628 2.099 0.008 2.09 1.54 0.003 1.535 0. 0. 0.
370 3.865 0. 3.864 2.24 0. 2.24 1.622 0. 1.622 0. 0. 0.
380 3.956 0. 3.956 2.366 0. 2.366 1.586 0. 1.586 0. 0. 0.
390 4.247 0. 4.246 2.471 0. 2.471 1.773 0. 1.773 0. 0. 0.
400 4.353 0.047 4.304 2.562 0.019 2.541 1.789 0.028 1.761 0. 0. 0.
