param-n pattern-real pattern-sys pattern-user
251 0.009 0. 0.009
252 0.005 0. 0.005
253 0.005 0. 0.005
254 0.005 0. 0.005
255 0.005 0. 0.005
256 0.005 0. 0.005
257 0.005 0. 0.005
258 0.005 0. 0.005
259 0.005 0. 0.005
260 0.005 0. 0.005
261 0.005 0. 0.005
262 0.005 0. 0.005
263 0.006 0. 0.006
264 0.005 0. 0.005
265 0.006 0. 0.006
266 0.005 0. 0.005
267 0.005 0. 0.005
268 0.005 0. 0.005
269 0.005 0. 0.005
270 0.006 0. 0.006
271 0.005 0. 0.005
272 0.005 0. 0.005
273 0.005 0. 0.005
274 0.005 0. 0.005
275 0.005 0. 0.005
276 0.006 0. 0.006
277 0.005 0. 0.005
278 0.005 0. 0.005
279 0.005 0. 0.005
280 0.005 0. 0.005
281 0.005 0. 0.005
282 0.007 0. 0.007
283 0.005 0. 0.005
284 0.006 0. 0.006
285 0.006 0. 0.006
286 0.006 0. 0.006
287 0.007 0. 0.007
288 0.007 0. 0.007
289 0.006 0. 0.006
290 0.007 0. 0.007
291 0.007 0. 0.007
292 0.006 0. 0.006
293 0.007 0. 0.007
294 0.008 0. 0.008
295 0.007 0. 0.007
296 0.008 0. 0.008
297 0.007 0. 0.007
298 0.007 0. 0.007
299 0.007 0. 0.007
300 0.008 0. 0.008
301 0.007 0. 0.007
302 0.007 0. 0.008
303 0.006 0. 0.006
304 0.006 0. 0.006
305 0.006 0. 0.006
306 0.006 0. 0.006
307 0.006 0. 0.006
308 0.006 0. 0.006
309 0.006 0. 0.006
310 0.006 0. 0.006
311 0.007 0. 0.007
312 0.006 0. 0.006
313 0.006 0. 0.006
314 0.006 0. 0.006
315 0.006 0. 0.006
316 0.006 0. 0.006
317 0.008 0. 0.008
318 0.006 0. 0.006
319 0.006 0. 0.006
320 0.006 0. 0.006
321 0.007 0. 0.007
322 0.009 0. 0.009
323 0.008 0. 0.008
324 0.006 0. 0.004
325 0.006 0. 0.011
326 0.006 0. 0.006
327 0.009 0. 0.008
328 0.006 0. 0.007
329 0.007 0. 0.007
330 0.009 0. 0.009
331 0.008 0. 0.008
332 0.016 0. 0.016
333 0.007 0. 0.007
334 0.007 0. 0.007
335 0.007 0. 0.007
336 0.007 0. 0.007
337 0.007 0. 0.007
338 0.008 0. 0.008
339 0.007 0. 0.007
340 0.007 0. 0.007
341 0.008 0. 0.008
342 0.01 0. 0.01
343 0.011 0.001 0.009
344 0.008 0. 0.008
345 0.008 0. 0.008
346 0.008 0. 0.008
347 0.007 0. 0.007
348 0.009 0. 0.009
349 0.008 0. 0.008
350 0.007 0. 0.007
351 0.008 0. 0.008
352 0.008 0. 0.008
353 0.009 0. 0.009
354 0.01 0. 0.01
355 0.008 0.001 0.006
356 0.008 0. 0.008
357 0.008 0. 0.008
358 0.014 0. 0.014
359 0.008 0. 0.008
360 0.007 0. 0.007
361 0.008 0. 0.008
362 0.009 0. 0.009
363 0.008 0. 0.008
364 0.008 0. 0.008
365 0.008 0. 0.008
366 0.009 0. 0.009
367 0.014 0. 0.014
368 0.011 0. 0.013
369 0.011 0. 0.011
370 0.008 0. 0.008
371 0.008 0. 0.008
372 0.008 0. 0.008
373 0.007 0. 0.007
374 0.008 0. 0.008
375 0.008 0. 0.008
376 0.008 0. 0.008
377 0.009 0. 0.009
378 0.008 0. 0.008
379 0.008 0. 0.008
380 0.008 0. 0.008
381 0.009 0. 0.009
382 0.008 0. 0.008
383 0.008 0. 0.008
384 0.008 0. 0.008
385 0.008 0. 0.008
386 0.009 0. 0.009
387 0.008 0. 0.008
388 0.008 0. 0.008
389 0.008 0. 0.008
390 0.01 0. 0.01
391 0.009 0. 0.009
392 0.009 0. 0.009
393 0.008 0. 0.008
394 0.008 0. 0.008
395 0.01 0. 0.01
396 0.012 0. 0.012
397 0.008 0. 0.008
398 0.008 0. 0.008
399 0.01 0. 0.01
400 0.008 0. 0.008
401 0.008 0. 0.008
402 0.008 0. 0.008
403 0.008 0. 0.008
404 0.008 0. 0.008
405 0.008 0. 0.008
406 0.008 0. 0.008
407 0.008 0. 0.008
408 0.009 0. 0.009
409 0.009 0. 0.009
410 0.008 0. 0.008
411 0.009 0. 0.009
412 0.01 0. 0.01
413 0.009 0. 0.009
414 0.009 0. 0.009
415 0.011 0. 0.011
416 0.01 0. 0.01
417 0.009 0. 0.009
418 0.009 0. 0.009
419 0.012 0. 0.012
420 0.018 0. 0.018
421 0.008 0. 0.008
422 0.008 0. 0.008
423 0.009 0. 0.009
424 0.011 0. 0.011
425 0.009 0. 0.004
426 0.009 0. 0.009
427 0.009 0. 0.009
428 0.009 0. 0.009
429 0.011 0. 0.011
430 0.009 0. 0.009
431 0.009 0. 0.009
432 0.009 0. 0.009
433 0.009 0. 0.009
434 0.009 0. 0.009
435 0.009 0. 0.009
436 0.009 0. 0.009
437 0.01 0. 0.01
438 0.009 0. 0.009
439 0.009 0. 0.009
440 0.009 0. 0.009
441 0.011 0. 0.011
442 0.009 0. 0.009
443 0.009 0. 0.009
444 0.009 0. 0.009
445 0.01 0. 0.01
446 0.009 0. 0.009
447 0.009 0. 0.009
448 0.009 0. 0.009
449 0.009 0. 0.009
450 0.009 0. 0.009
451 0.009 0. 0.009
452 0.012 0. 0.012
453 0.009 0. 0.009
454 0.01 0. 0.01
455 0.009 0. 0.009
456 0.01 0. 0.01
457 0.01 0. 0.01
458 0.009 0. 0.009
459 0.01 0. 0.01
460 0.011 0. 0.011
461 0.01 0. 0.01
462 0.01 0. 0.01
463 0.009 0. 0.009
464 0.01 0. 0.01
465 0.01 0. 0.01
466 0.011 0. 0.011
467 0.01 0. 0.01
468 0.012 0. 0.012
469 0.012 0. 0.012
470 0.009 0. 0.009
471 0.012 0. 0.012
472 0.01 0. 0.01
473 0.01 0. 0.01
474 0.01 0. 0.01
475 0.014 0. 0.014
476 0.01 0. 0.01
477 0.01 0. 0.01
478 0.01 0. 0.01
479 0.011 0. 0.011
480 0.01 0. 0.01
481 0.01 0.003 0.007
482 0.011 0. 0.011
483 0.01 0. 0.01
484 0.011 0. 0.008
485 0.01 0. 0.011
486 0.011 0. 0.011
487 0.012 0. 0.012
488 0.01 0. 0.01
489 0.01 0. 0.01
490 0.011 0. 0.011
491 0.01 0. 0.01
492 0.01 0. 0.01
493 0.012 0. 0.012
494 0.01 0. 0.01
495 0.01 0. 0.01
496 0.01 0. 0.01
497 0.012 0. 0.012
498 0.01 0. 0.01
499 0.01 0. 0.01
500 0.011 0. 0.011
600 0.073 0.013 0.058
800 0.016 0. 0.016
1000 0.024 0. 0.024
1200 0.026 0. 0.025
1400 0.035 0. 0.035
1600 0.038 0. 0.038
1800 0.048 0. 0.048
