param-n noop-repeat-rewrite-strat-bottomup-regression-cubic-real noop-repeat-rewrite-strat-bottomup-regression-cubic-sys noop-repeat-rewrite-strat-bottomup-regression-cubic-user noop-repeat-rewrite-strat-topdown-regression-cubic-real noop-repeat-rewrite-strat-topdown-regression-cubic-sys noop-repeat-rewrite-strat-topdown-regression-cubic-user noop-repeat-setoid-rewrite-regression-cubic-real noop-repeat-setoid-rewrite-regression-cubic-sys noop-repeat-setoid-rewrite-regression-cubic-user
0 0. 0. 0. 0. 0. 0. 0. 0. 0.
1 0.001 0.001 0. 0. 0. 0. 0.001 0. 0.001
2 0.001 0. 0.001 0.001 0. 0. 0.001 0.001 0.
10 0.006 0. 0.006 0.006 0. 0.006 0.007 0.003 0.003
20 0.014 0. 0.014 0.068 0.01 0.057 0.022 0.012 0.01
30 0.037 0. 0.037 0.039 0. 0.039 0.038 0. 0.038
40 0.078 0. 0.078 0.079 0. 0.079 0.081 0. 0.081
50 0.142 0. 0.142 0.147 0. 0.147 0.219 0.036 0.175
60 0.234 0. 0.234 0.238 0. 0.238 0.237 0. 0.237
70 0.368 0. 0.368 0.367 0. 0.366 0.373 0. 0.373
80 0.529 0. 0.529 0.535 0. 0.535 0.546 0. 0.545
90 0.749 0.003 0.745 0.741 0. 0.741 0.748 0.002 0.745
100 1.014 0. 1.014 1.043 0. 1.043 1.017 0. 1.017
110 1.337 0.004 1.333 1.331 0.004 1.326 1.355 0.003 1.351
120 1.727 0. 1.726 1.739 0. 1.739 1.725 0. 1.725
130 2.184 0. 2.183 2.181 0. 2.181 2.189 0. 2.189
140 2.724 0. 2.723 2.707 0. 2.706 2.725 0. 2.725
150 3.333 0. 3.333 3.357 0.003 3.352 3.374 0. 3.373
160 4.05 0. 4.049 4.039 0. 4.038 4.058 0.003 4.053
170 4.85 0. 4.849 4.863 0. 4.862 4.854 0.008 4.844
180 5.763 0.003 5.758 5.78 0.012 5.767 5.799 0.004 5.793
190 6.784 0. 6.782 6.761 0. 6.76 6.78 0. 6.779
200 7.962 0.008 7.951 7.923 0.011 7.909 7.91 0.004 7.905
