param-0-univ-count param-1-n abstract-regression-quadratic-real abstract-regression-quadratic-sys abstract-regression-quadratic-user close-abstract-regression-quadratic-real close-abstract-regression-quadratic-sys close-abstract-regression-quadratic-user exact-regression-linear-real exact-regression-linear-sys exact-regression-linear-user
1 0 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 1 0. 0. 0. 0. 0. 0. 0. 0. 0.
4 2 0. 0. 0. 0.001 0.001 0. 0. 0. 0.
8 3 0. 0. 0. 0. 0. 0. 0.001 0. 0.
16 4 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001
32 5 0. 0. 0. 0.003 0.003 0. 0.001 0. 0.001
64 6 0. 0. 0. 0.007 0.007 0. 0.003 0. 0.003
128 7 0. 0. 0. 0.062 0.027 0.034 0.009 0.004 0.004
256 8 0. 0. 0. 0.028 0.003 0.024 0.011 0. 0.011
512 9 0. 0. 0. 0.095 0. 0.095 0.029 0. 0.028
1024 10 0. 0. 0. 0.227 0.003 0.224 0.055 0. 0.055
2048 11 0. 0. 0. 0.819 0.007 0.811 0.139 0. 0.139
4096 12 0. 0. 0. 2.626 0.004 2.621 0.302 0.004 0.297
8192 13 0. 0. 0. 9.782 0.024 9.757 0.597 0.019 0.576
16384 14 0. 0. 0. 31.193 0.06 31.118 1.18 0.016 1.164
