param-n abstract+rewrite-strat-bottomup-real abstract+rewrite-strat-bottomup-sys abstract+rewrite-strat-bottomup-user abstract+rewrite-strat-topdown-real abstract+rewrite-strat-topdown-sys abstract+rewrite-strat-topdown-user close-abstract+rewrite-strat-bottomup-real close-abstract+rewrite-strat-bottomup-sys close-abstract+rewrite-strat-bottomup-user close-abstract+rewrite-strat-topdown-real close-abstract+rewrite-strat-topdown-sys close-abstract+rewrite-strat-topdown-user rewrite-strat-bottomup-real rewrite-strat-bottomup-sys rewrite-strat-bottomup-user rewrite-strat-bottomup-noop-real rewrite-strat-bottomup-noop-sys rewrite-strat-bottomup-noop-user rewrite-strat-topdown-real rewrite-strat-topdown-sys rewrite-strat-topdown-user rewrite-strat-topdown-noop-real rewrite-strat-topdown-noop-sys rewrite-strat-topdown-noop-user
1 0. 0. 0. 0.001 0. 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 0.002 0.001 0. 0.001 0. 0.001 0.001 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
3 0.002 0.002 0. 0.001 0. 0.001 0. 0. 0. 0. 0. 0. 0.001 0.001 0. 0. 0. 0. 0.001 0. 0.001 0. 0. 0.
50 0.144 0.024 0.12 0.109 0.04 0.069 0.023 0. 0.023 0.07 0.015 0.054 0.119 0.023 0.095 0. 0. 0. 0.037 0.024 0.013 0.001 0. 0.001
100 0.33 0.012 0.318 0.184 0.007 0.177 0.109 0. 0.109 0.084 0.003 0.081 0.219 0.011 0.207 0.001 0. 0. 0.097 0.003 0.094 0.001 0. 0.
150 0.738 0.003 0.735 0.438 0.004 0.434 0.249 0.003 0.246 0.181 0. 0.181 0.486 0. 0.486 0.002 0. 0.002 0.253 0.004 0.249 0.003 0. 0.003
200 1.27 0.007 1.262 0.763 0.003 0.759 0.39 0. 0.39 0.331 0. 0.331 0.876 0.007 0.868 0.003 0. 0.003 0.428 0.003 0.424 0.003 0. 0.003
250 2.098 0.011 2.086 1.125 0.011 1.113 0.683 0.004 0.678 0.448 0.003 0.444 1.41 0.007 1.402 0.004 0. 0.004 0.671 0.007 0.663 0.004 0. 0.004
300 2.95 0.04 2.91 1.731 0.019 1.711 0.877 0.008 0.869 0.635 0.003 0.631 2.065 0.032 2.033 0.006 0. 0.006 1.089 0.015 1.073 0.006 0. 0.006
350 4.117 0.008 4.108 2.418 0.02 2.398 1.199 0. 1.199 0.927 0.004 0.922 2.909 0.008 2.9 0.007 0. 0.007 1.473 0.016 1.456 0.017 0. 0.017
400 5.701 0.024 5.676 3.131 0.008 3.122 1.548 0. 1.548 1.158 0.008 1.149 4.142 0.024 4.117 0.009 0. 0.009 1.961 0. 1.961 0.009 0. 0.009
