param-n fast-rewrite-regression-cubic-real fast-rewrite-regression-cubic-sys fast-rewrite-regression-cubic-user pose-build-and-refine-regression-cubic-real pose-build-and-refine-regression-cubic-sys pose-build-and-refine-regression-cubic-user refine-regression-quadratic-regression-linear-real refine-regression-quadratic-regression-linear-sys refine-regression-quadratic-regression-linear-user
1 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 0. 0. 0. 0. 0. 0. 0. 0. 0.
3 0. 0. 0. 0. 0. 0. 0. 0. 0.
50 0.016 0.008 0.006 0.016 0.008 0.006 0.001 0. 0.001
100 0.094 0.015 0.078 0.094 0.015 0.078 0.001 0. 0.001
150 0.078 0. 0.078 0.078 0. 0.078 0.001 0. 0.001
200 0.167 0. 0.167 0.167 0. 0.167 0.002 0. 0.002
250 0.243 0. 0.243 0.243 0. 0.243 0.003 0. 0.003
300 0.313 0. 0.313 0.313 0. 0.313 0.003 0. 0.003
350 0.403 0.015 0.387 0.403 0.015 0.387 0.003 0. 0.003
400 0.612 0.004 0.608 0.612 0.004 0.608 0.004 0. 0.004
